,unique_id,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
124,HP71-44,HP71-20240123,B2-4,sample,hide,,B2-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2188.27,2188.27,2178.55,2178.46,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.489,Plate3,E4,,1.489,,9.764999999999873,1.105939640453878,0.2211879280907756,0.17695034247262048,0.35203152107901625,0.16952820375009658,0.16952820375009658,0.3372656452539733,0.3372656452539733,0.2119102546876207,0.2119102546876207
125,HP71-44,HP71-20240123,B2-4,sample,hide,,B2-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2188.27,2188.27,2178.55,2178.46,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.4280000000000002,Plate3,F4,,1.4280000000000002,,9.764999999999873,1.0567276337067084,0.2113455267413417,0.16907642139307336,0.3363668528124488,0.16952820375009658,0.16952820375009658,0.3372656452539733,0.3372656452539733,0.2119102546876207,0.2119102546876207
126,HP71-44,HP71-20240123,B2-4,sample,hide,,B2-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2188.27,2188.27,2178.55,2178.46,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.435,Plate3,G4,,1.435,,9.764999999999873,1.0623749131694984,0.2124749826338997,0.16997998610711976,0.33816443769549753,0.16952820375009658,0.16952820375009658,0.3372656452539733,0.3372656452539733,0.2119102546876207,0.2119102546876207
127,HP71-44,HP71-20240123,B2-4,sample,hide,,B2-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2188.27,2188.27,2178.55,2178.46,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.406,Plate3,H4,,1.406,,9.764999999999873,1.0389790411093685,0.20779580822187368,0.16623664657749895,0.330717300322867,0.16952820375009658,0.16952820375009658,0.3372656452539733,0.3372656452539733,0.2119102546876207,0.2119102546876207
128,HP71-45,HP71-20240123,B3-1,sample,hide,,B3-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2152.59,2152.48,2144.55,2144.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.625,Plate1,A11,,0.625,,8.129999999999654,0.40050672891552075,0.08010134578310416,0.06408107662648332,0.12748525129694172,0.07055759678224867,0.07055759678224867,0.14036987875724602,0.14036987875724602,0.08819699597781085,0.08819699597781085
129,HP71-45,HP71-20240123,B3-1,sample,hide,,B3-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2152.59,2152.48,2144.55,2144.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.7020000000000001,Plate1,B11,,0.7020000000000001,,8.129999999999654,0.45876514620453146,0.0917530292409063,0.07340242339272504,0.14602948147345451,0.07055759678224867,0.07055759678224867,0.14036987875724602,0.14036987875724602,0.08819699597781085,0.08819699597781085
130,HP71-45,HP71-20240123,B3-1,sample,hide,,B3-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2152.59,2152.48,2144.55,2144.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.685,Plate1,C11,,0.685,,8.129999999999654,0.445902898231633,0.0891805796463266,0.07134446371706128,0.1419353007851335,0.07055759678224867,0.07055759678224867,0.14036987875724602,0.14036987875724602,0.08819699597781085,0.08819699597781085
131,HP71-45,HP71-20240123,B3-1,sample,hide,,B3-1,1/17/24,1.0,8.0,800.0,4.0,20.0,2152.59,2152.48,2144.55,2144.26,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,0.672,Plate1,D11,,0.672,,8.129999999999654,0.43606706154647534,0.08721341230929507,0.06977072984743606,0.1388044567293586,0.07055759678224867,0.07055759678224867,0.14036987875724602,0.14036987875724602,0.08819699597781085,0.08819699597781085
132,HP71-46,HP71-20240123,B3-2,sample,hide,,B3-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2186.08,2186.08,2176.65,2176.5,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.452,Plate1,E5,,1.452,,9.50500000000011,1.0262172626559336,0.20524345253118673,0.1641947620249494,0.32665510007585147,0.16183416122051159,0.16183416122051159,0.32195883399218916,0.32195883399218916,0.2022927015256394,0.2022927015256394
133,HP71-46,HP71-20240123,B3-2,sample,hide,,B3-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2186.08,2186.08,2176.65,2176.5,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.3119999999999998,Plate1,F5,,1.3119999999999998,,9.50500000000011,0.920292867585005,0.184058573517001,0.1472468588136008,0.2929383179367373,0.16183416122051159,0.16183416122051159,0.32195883399218916,0.32195883399218916,0.2022927015256394,0.2022927015256394
