hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg,tissue_areal_density_mg_per_cm2
HP21-8,HP21-20231027,,20230928-3-_media_dig_D18,20230928-3-_media_dig_D18,,,0.008666428,,,,,
HP21-9,HP21-20231027,,dig_TGFBS231004D,dig_TGFBS231004D,,,0.003318794,,,,,
HP21-10,HP21-20231027,,20230928-3-_media_dig_D14,20230928-3-_media_dig_D14,,,0.00626617,,,,,
HP21-11,HP21-20231027,,dig_TGFBS230927D,dig_TGFBS230927D,,,0.003071709,,,,,
HP21-12,HP21-20231027,,20230928-3-_media_dig_D12,20230928-3-_media_dig_D12,,,0.006319117,,,,,
HP21-13,HP21-20231027,,dig_TGFBS231012G,dig_TGFBS231012G,,,0.003760018,,,,,
HP21-14,HP21-20231027,,dig_TGFBS231005G,dig_TGFBS231005G,,,0.002965815,,,,,
HP21-15,HP21-20231027,,dig_TGFBS230927G,dig_TGFBS230927G,,,0.002948166,,,,,
HP21-16,HP21-20231027,,20230928-3-_media_dig_D11,20230928-3-_media_dig_D11,,,0.007914537,,,,,
HP21-17,HP21-20231027,,20230928-1-_media_dig_D28,20230928-1-_media_dig_D28,,,0.007324129,,,,,
HP21-18,HP21-20231027,,20230928-3-_media_dig_D9,20230928-3-_media_dig_D9,,,0.008075557,,,,,
HP21-19,HP21-20231027,,20230928-1-_media_dig_D25,20230928-1-_media_dig_D25,,,0.007878754,,,,,
HP21-20,HP21-20231027,,20230928-3-_media_dig_D5,20230928-3-_media_dig_D5,,,0.006322225,,,,,
HP21-21,HP21-20231027,,20230928-1-_media_dig_D21,20230928-1-_media_dig_D21,,,0.007252564,,,,,
HP21-22,HP21-20231027,,20230928-2-_media_dig_D28,20230928-2-_media_dig_D28,,,0.00922059,,,,,
HP21-23,HP21-20231027,,20230928-1-_media_dig_D18,20230928-1-_media_dig_D18,,,0.008218686,,,,,
HP21-24,HP21-20231027,,20230928-2-_media_dig_D25,20230928-2-_media_dig_D25,,,0.008111339,,,,,
HP21-25,HP21-20231027,,20230928-1-_media_dig_D14,20230928-1-_media_dig_D14,,,0.007252564,,,,,
HP21-26,HP21-20231027,,20230928-2-_media_dig_D21,20230928-2-_media_dig_D21,,,0.008397597,,,,,
HP21-27,HP21-20231027,,20230928-1-_media_dig_D12,20230928-1-_media_dig_D12,,,0.006805286,,,,,
HP21-28,HP21-20231027,,20230928-2-_media_dig_D18,20230928-2-_media_dig_D18,,,0.008451271,,,,,
HP21-29,HP21-20231027,,20230928-1-_media_dig_D11,20230928-1-_media_dig_D11,,,0.006501137,,,,,
HP21-30,HP21-20231027,,20230928-2-_media_dig_D14,20230928-2-_media_dig_D14,,,0.008272359,,,,,
HP21-31,HP21-20231027,,20230928-1-_media_dig_D9,20230928-1-_media_dig_D9,,,0.006411681,,,,,
HP21-32,HP21-20231027,,20230928-2-_media_dig_D12,20230928-2-_media_dig_D12,,,0.007753516,,,,,
HP21-33,HP21-20231027,,20230928-1-_media_dig_D5,20230928-1-_media_dig_D5,,,0.005230866,,,,,
HP21-34,HP21-20231027,,20230928-2-_media_dig_D11,20230928-2-_media_dig_D11,,,0.006697939,,,,,
HP21-35,HP21-20231027,,20230928-2-_media_dig_D9,20230928-2-_media_dig_D9,,,0.006125423,,,,,
HP21-36,HP21-20231027,,20230928-2-_media_dig_D5,20230928-2-_media_dig_D5,,,0.005248757,,,,,
HP21-37,HP21-20231027,,20230921-3-Media_dig_D28,20230921-3-Media_dig_D28,,,0.009246721,,,,,
HP21-38,HP21-20231027,,20230921-1-Media_dig_D28,20230921-1-Media_dig_D28,,,0.007042803,,,,,
HP21-39,HP21-20231027,,20230921-3-Media_dig_D25,20230921-3-Media_dig_D25,,,0.008952865,,,,,
HP21-40,HP21-20231027,,20230921-1-Media_dig_D25,20230921-1-Media_dig_D25,,,0.007281561,,,,,
HP21-41,HP21-20231027,,20230921-3-Media_dig_D19,20230921-3-Media_dig_D19,,,0.008677375,,,,,
HP21-42,HP21-20231027,,20230921-1-Media_dig_D19,20230921-1-Media_dig_D19,,,0.00472869,,,,,
HP21-43,HP21-20231027,,20230921-3-Media_dig_D12,20230921-3-Media_dig_D12,,,0.006161237,,,,,
HP21-44,HP21-20231027,,20230921-1-Media_dig_D12,20230921-1-Media_dig_D12,,,0.00349817,,,,,
HP21-45,HP21-20231027,,20230921-3-Media_dig_D11,20230921-3-Media_dig_D11,,,0.006932608,,,,,
HP21-46,HP21-20231027,,20230921-1-Media_dig_D11,20230921-1-Media_dig_D11,,,0.006253066,,,,,
HP21-47,HP21-20231027,,20230921-3-Media_dig_D9,20230921-3-Media_dig_D9,,,0.005867381,,,,,
HP21-48,HP21-20231027,,20230921-1-Media_dig_D9,20230921-1-Media_dig_D9,,,0.002873727,,,,,
HP21-49,HP21-20231027,,20230921-2-Media_dig_D28,20230921-2-Media_dig_D28,,,0.00783254,,,,,
HP21-50,HP21-20231027,,TGFBS231005,TGFBS231005,,,0.006285481,,,,,
HP21-51,HP21-20231027,,20230921-2-Media_dig_D25,20230921-2-Media_dig_D25,,,0.008916133,,,,,
HP21-52,HP21-20231027,,TGFBS231012,TGFBS231012,,,0.00499068,,,,,
HP21-53,HP21-20231027,,20230921-2-Media_dig_D19,20230921-2-Media_dig_D19,,,0.007042803,,,,,
HP21-54,HP21-20231027,,TGFBS231019,TGFBS231019,,,0.005866064,,,,,
HP21-55,HP21-20231027,,20230921-2-Media_dig_D12,20230921-2-Media_dig_D12,,,0.005830649,,,,,
HP21-56,HP21-20231027,,20230921-2-Media_dig_D11,20230921-2-Media_dig_D11,,,0.006675484,,,,,
HP21-57,HP21-20231027,,20230921-2-Media_dig_D9,20230921-2-Media_dig_D9,,,0.006124505,,,,,
HP21-58,HP21-20231027,,20230928-1-_media_D5,20230928-1-_media_D5,,,0.00237988,,,,,
HP21-59,HP21-20231027,,20230928-2-_media_D25,20230928-2-_media_D25,,,0.006288989,,,,,
HP21-60,HP21-20231027,,20230928-1-_media_D12,20230928-1-_media_D12,,,0.004941931,,,,,
HP21-61,HP21-20231027,,20230928-2-_media_D28,20230928-2-_media_D28,,,0.006526705,,,,,
HP21-62,HP21-20231027,,20230928-1-_media_D14,20230928-1-_media_D14,,,0.005769535,,,,,
HP21-63,HP21-20231027,,20230928-3-_media_D5,20230928-3-_media_D5,,,0.00182521,,,,,
HP21-64,HP21-20231027,,20230928-1-_media_D18,20230928-1-_media_D18,,,0.006227358,,,,,
HP21-65,HP21-20231027,,20230928-3-_media_D12,20230928-3-_media_D12,,,0.005567036,,,,,
HP21-66,HP21-20231027,,20230928-1-_media_D21,20230928-1-_media_D21,,,0.006165728,,,,,
HP21-67,HP21-20231027,,20230928-3-_media_D14,20230928-3-_media_D14,,,0.006377032,,,,,
HP21-68,HP21-20231027,,20230928-1-_media_D25,20230928-1-_media_D25,,,0.006016055,,,,,
HP21-69,HP21-20231027,,20230928-3-_media_D18,20230928-3-_media_D18,,,0.006421053,,,,,
HP21-70,HP21-20231027,,20230928-1-_media_D28,20230928-1-_media_D28,,,0.006605943,,,,,
HP21-71,HP21-20231027,,20230928-3-_media_D21,20230928-3-_media_D21,,,0.006658769,,,,,
HP21-72,HP21-20231027,,20230928-2-_media_D5,20230928-2-_media_D5,,,0.00326031,,,,,
HP21-73,HP21-20231027,,20230928-3-_media_D25,20230928-3-_media_D25,,,0.00602486,,,,,
HP21-74,HP21-20231027,,20230928-2-_media_D12,20230928-2-_media_D12,,,0.005892795,,,,,
HP21-75,HP21-20231027,,20230928-2-_media_D14,20230928-2-_media_D14,,,0.006958115,,,,,
HP21-76,HP21-20231027,,20230928-2-_media_D18,20230928-2-_media_D18,,,0.006914094,,,,,
HP21-77,HP21-20231027,,20230928-2-_media_D21,20230928-2-_media_D21,,,0.006852464,,,,,
HP14-1,HP14-20231020,,20230921-2-dig_media_D9,20230921-2-dig_media_D9,,,0.001443314,,,,,
HP14-2,HP14-20231020,,20230921-2-dig_media_D11,20230921-2-dig_media_D11,,,0.00149877,,,,,
HP14-3,HP14-20231020,,20230921-2-dig_media_D12,20230921-2-dig_media_D12,,,0.001512634,,,,,
HP14-4,HP14-20231020,,20230921-2-dig_media_D21,20230921-2-dig_media_D21,,,0.001706729,,,,,
HP14-5,HP14-20231020,,20230921-2-dig_media_D25,20230921-2-dig_media_D25,,,0.001512634,,,,,
HP14-6,HP14-20231020,,20230921-2-dig_media_D28,20230921-2-dig_media_D28,,,0.001866165,,,,,
HP14-7,HP14-20231020,,20230921-1-dig_media_D9,20230921-1-dig_media_D9,,,0.001665137,,,,,
HP14-8,HP14-20231020,,20230921-1-dig_media_D11,20230921-1-dig_media_D11,,,0.001658205,,,,,
HP14-9,HP14-20231020,,20230921-1-dig_media_D12,20230921-1-dig_media_D12,,,0.00149877,,,,,
HP14-10,HP14-20231020,,20230921-1-dig_media_D19,20230921-1-dig_media_D19,,,0.001276946,,,,,
HP14-11,HP14-20231020,,20230921-1-dig_media_D25,20230921-1-dig_media_D25,,,0.001422518,,,,,
HP14-12,HP14-20231020,,20230921-1-dig_media_D28,20230921-1-dig_media_D28,,,0.001623545,,,,,
HP14-13,HP14-20231020,,20230921-3-dig_media_D9,20230921-3-dig_media_D9,,,0.001639868,,,,,
HP14-14,HP14-20231020,,20230921-3-dig_media_D11,20230921-3-dig_media_D11,,,0.001914949,,,,,
HP14-15,HP14-20231020,,20230921-3-dig_media_D12,20230921-3-dig_media_D12,,,0.001985938,,,,,
HP14-16,HP14-20231020,,20230921-3-dig_media_D19,20230921-3-dig_media_D19,,,0.00203918,,,,,
HP14-17,HP14-20231020,,20230921-3-dig_media_D21,20230921-3-dig_media_D21,,,0.002314261,,,,,
HP14-18,HP14-20231020,,20230921-3-dig_media_D25,20230921-3-dig_media_D25,,,0.002305387,,,,,
HP14-19,HP14-20231020,,20230921-3-dig_media_D28,20230921-3-dig_media_D28,,,0.002181157,,,,,
HP14-20,HP14-20231020,,TGFBS231012_dig,TGFBS231012_dig,,,0.002003685,,,,,
HP14-21,HP14-20231020,,TGFBS231012G_dig,TGFBS231012G_dig,,,0.001542259,,,,,
HP14-22,HP14-20231020,,TGFBS231012D_dig,TGFBS231012D_dig,,,0.001284925,,,,,
HP16-1,HP16-20231023,,230928-2,230928-2,,,0.007516613,,,,,
HP16-2,HP16-20231023,,230928-3,230928-3,,,0.007842976,,,,,
HP16-3,HP16-20231023,,230928-1,230928-1,,,0.008650988,,,,,
HP16-4,HP16-20231023,,TGFBS231012,TGFBS231012,,,0.002847515,,,,,
HP10-1,HP10-20231006,V2P1923-300116,EXP32_C4,20230925-C4,0.016077875,,0.016077875,,0.031985916,,-6.595,-13.12033562
HP10-2,HP10-20231006,V2P1923-300116,EXP32_C5,20230925-C5,0.014379709,,0.014379709,,0.028607521,,0.35,0.696302876
HP10-3,HP10-20231006,V2P1923-300116,EXP32_C6,20230925-C6,0.012812171,,0.012812171,,0.025489003,,5.625,11.19058194
HP10-4,HP10-20231006,PET723-100116,EXP32_D4,20230925-D4,0.011505889,,0.011505889,,0.022890238,,9.22,18.34260719
HP10-5,HP10-20231006,PET723-100116,EXP32_D5,20230925-D5,0.014118452,,0.014118452,,0.028087768,,-12.205,-24.28107601
HP10-6,HP10-20231006,PET723-100116,EXP32_D6,20230925-D6,0.012681542,,0.012681542,,0.025229127,,22.345,44.45396504
HP10-7,HP10-20231006,V2P1923-300116,EXP32_A4,20230925-A4,0.013465311,,0.013465311,,0.026788386,,28.51,56.71884284
HP10-8,HP10-20231006,V2P1923-300116,EXP32_A5,20230925-A5,0.012942799,,0.012942799,,0.02574888,,18.69,37.18257358
HP10-9,HP10-20231006,V2P1923-300116,EXP32_A6,20230925-A6,0.011636517,,0.011636517,,0.023150115,,-1.3,-2.586267825
HP10-10,HP10-20231006,V2P1923-300116,EXP32_B4,20230925-B4,0.00497448,,0.00497448,,0.009896414,,10.19,20.27236088
HP10-11,HP10-20231006,V2P1923-300116,EXP32_B5,20230925-B5,0.003406942,,0.003406942,,0.006777896,,8.205,16.32332885
HP10-12,HP10-20231006,V2P1923-300116,EXP32_B6,20230925-B6,0.002623173,,0.002623173,,0.005218637,,6.715,13.35906804
HP10-13,HP10-20231006,V2P1923-300115,EXP32_E1,20230925-E1,0.016729682,,0.016729682,,0.033282645,,6.42,12.77218418
HP10-14,HP10-20231006,V2P1923-300116,EXP32_G3,20230925-G3,0.014497755,,0.014497755,,0.028842368,,5.88,11.69788832
HP10-15,HP10-20231006,V2P1923-300115,EXP32_E2,20230925-E2,0.013316147,,0.013316147,,0.026491633,,7.845,15.60713161
HP10-16,HP10-20231006,PET723-100116,EXP42_20230727-1_2,20230727-1-2,0.084399805,,0.084399805,,0.167908076,,18.2,36.20774955
HP10-17,HP10-20231006,V2P1923-300115,EXP32_E3,20230925-E3,0.017648711,,0.017648711,,0.035110994,,5.19,10.32517693
HP10-18,HP10-20231006,PET723-100116,EXP42_20230727-1_4,20230727-1-4,0.083086907,,0.083086907,,0.165296149,,22.175,44.11576079
HP10-19,HP10-20231006,V2P1923-300115,EXP32_E7,20230925-E7,0.016729682,,0.016729682,,0.033282645,,6.675,13.27949056
HP10-20,HP10-20231006,PET723-100116,EXP42_20230727-1_6,20230727-1-6,0.084662384,,0.084662384,,0.168430462,,16.7,33.22359437
HP10-21,HP10-20231006,V2P1923-300115,EXP32_E8,20230925-E8,0.014497755,,0.014497755,,0.028842368,,6.18,12.29471935
HP10-22,HP10-20231006,PET723-100116,EXP42_20230727-2_8,20230727-2-8,0.076784996,,0.076784996,,0.152758897,,17.04,33.90000288
HP10-23,HP10-20231006,V2P1923-300116,EXP32_F1,20230925-F1,0.016598392,,0.016598392,,0.033021452,,8.005,15.92544149
HP10-24,HP10-20231006,PET723-100116,EXP42_20230727-2_10,20230727-2-10,0.079148213,,0.079148213,,0.157460366,,16.415,32.65660489
HP10-25,HP10-20231006,V2P1923-300116,EXP32_F2,20230925-F2,0.015810653,,0.015810653,,0.031454295,,6.075,12.08582849
HP10-26,HP10-20231006,V2P1923-300116,EXP32_F3,20230925-F3,0.01817387,,0.01817387,,0.036155765,,8.11,16.13433236
HP10-27,HP10-20231006,V2P1923-300116,EXP32_F7,20230925-F7,0.017517421,,0.017517421,,0.034849801,,5.625,11.19058194
HP10-28,HP10-20231006,V2P1923-300116,EXP32_F8,20230925-F8,0.015154204,,0.015154204,,0.030148332,,6.955,13.83653287
HP10-29,HP10-20231006,V2P1923-300116,EXP32_G1,20230925-G1,0.013972596,,0.013972596,,0.027797597,,5.125,10.19586354
HP10-30,HP10-20231006,V2P1923-300116,EXP32_G2,20230925-G2,0.01778,,0.01778,,0.035372187,,7.92,15.75633937
HP10-31,HP10-20231006,PET723-100116,EXP42_20230727-2_12,20230727-2-12,0.103957802,,0.103957802,,0.206817475,,17.705,35.22297834
HP10-32,HP10-20231006,PET723-100116,EXP42_20230727-3_14,20230727-3-14,0.07828896,,0.07828896,,0.155750938,,15.655,31.14463293
HP10-33,HP10-20231006,PET723-100116,EXP42_20230727-3_16,20230727-3-16,0.090447885,,0.090447885,,0.17994035,,18.505,36.81452777
HP10-34,HP10-20231006,PET723-100116,EXP42_20230727-3_18,20230727-3-18,0.090988282,,0.090988282,,0.181015435,,16.445,32.71628799
HP10-35,HP10-20231006,PET723-100116,20230727-1_S3-t3,20230727-1-3,0.11419106,,0.11419106,,0.227175897,,24.245,48.23389494
HP10-36,HP10-20231006,PET723-100116,20230727-1_S5-t5,20230727-1-5,0.118244035,,0.118244035,,0.235239034,,16.85,33.52200989
HP10-37,HP10-20231006,PET723-100116,20230727-2-t7,20230727-2-7,0.109732788,,0.109732788,,0.218306445,,257.06,511.4046209
HP10-38,HP10-20231006,PET723-100116,20230727-2-t9,20230727-2-9,0.093926186,,0.093926186,,0.186860209,,16.815,33.4523796
HP10-39,HP10-20231006,PET723-100116,20230727-2-t11,20230727-2-11,0.106895705,,0.106895705,,0.212662249,,17.14,34.09894656
HP10-40,HP10-20231006,PET723-100116,20230727-3-t13,20230727-3-13,0.112164573,,0.112164573,,0.223144328,,16.725,33.27333029
HP10-41,HP10-20231006,PET723-100116,20230727-3-t15,20230727-3-15,0.087846723,,0.087846723,,0.174765503,,15.755,31.34357661
HP10-42,HP10-20231006,PET723-100116,20230727-3-t17,20230727-3-17,0.097573863,,0.097573863,,0.194117033,,16.175,32.17914006
HP7-1,HP7-20230913,BM0723RP350,GU-0810-2-3,20230810-2,0.186828244,,,,0.371682982,,8.18,
HP7-2,HP7-20230913,BM0723RP350,GU-0810-2-4,20230810-2,0.186828244,,,,0.371682982,,8.32,
HP7-3,HP7-20230913,BM0723RP150,GU-0810-3-1,20230810-2,0.186828244,,,,0.371682982,,8.705,
HP7-4,HP7-20230913,BM0723RP150,GU-0810-3-2,20230810-3,0.254350899,0.035228194,,,0.506015035,0.070084265,8.45,
HP7-5,HP7-20230913,BM0723RP150,GU-0810-3-3,20230810-3,0.254350899,0.035228194,,,0.506015035,0.070084265,8.65,
HP7-6,HP7-20230913,BM0723RP150,GU-0810-3-4,20230810-3,0.254350899,0.035228194,,,0.506015035,0.070084265,8.665,
HP7-7,HP7-20230913,BM0723PE350,GU-0810-1-1,20230810-1,0.174032701,0.014340843,,,0.346227058,0.028530201,10.37,
HP7-8,HP7-20230913,BM0723PE350,GU-0810-1-2,20230810-1,0.174032701,0.014340843,,,0.346227058,0.028530201,10.685,
HP7-9,HP7-20230913,BM0723PE350,GU-0810-1-3,20230810-1,0.174032701,0.014340843,,,0.346227058,0.028530201,10.72,
HP7-10,HP7-20230913,BM0723PE350,GU-0810-1-4,20230810-1,0.174032701,0.014340843,,,0.346227058,0.028530201,10.12,
HP7-11,HP7-20230913,BM0723RP350,GU-0810-2-1,20230810-2,0.186828244,,,,0.371682982,,8.995,
HP7-12,HP7-20230913,BM0723RP350,GU-0810-2-2,20230810-2,0.186828244,,,,0.371682982,,8.77,
HP6-1,HP6-20230913,BM0723RP350,DS-0810-2-3,20230810-2,0.247003897,0.024590894,,,0.491398639,0.04892203,8.18,
HP6-2,HP6-20230913,BM0723RP350,DS-0810-2-4,20230810-2,0.247003897,0.024590894,,,0.491398639,0.04892203,8.32,
HP6-3,HP6-20230913,BM0723RP350,DS-0810-3-1,20230810-2,0.247003897,0.024590894,,,0.491398639,0.04892203,8.705,
HP6-4,HP6-20230913,BM0723RP350,DS-0810-3-2,20230810-3,0.203660342,0.007769687,,,0.405169377,0.015457301,8.45,
HP6-5,HP6-20230913,BM0723RP350,DS-0810-3-3,20230810-3,0.203660342,0.007769687,,,0.405169377,0.015457301,8.65,
HP6-6,HP6-20230913,BM0723RP350,DS-0810-3-4,20230810-3,0.203660342,0.007769687,,,0.405169377,0.015457301,8.665,
HP6-7,HP6-20230913,BM0723PE350,DS-0810-1-1,20230810-1,0.204674197,0.012930261,,,0.407186378,0.025723937,10.37,
HP6-8,HP6-20230913,BM0723PE350,DS-0810-1-2,20230810-1,0.204674197,0.012930261,,,0.407186378,0.025723937,10.685,
HP6-9,HP6-20230913,BM0723PE350,DS-0810-1-3,20230810-1,0.204674197,0.012930261,,,0.407186378,0.025723937,10.72,
HP6-10,HP6-20230913,BM0723PE350,DS-0810-1-4,20230810-1,0.204674197,0.012930261,,,0.407186378,0.025723937,10.12,
HP6-11,HP6-20230913,BM0723RP350,DS-0810-2-1,20230810-2,0.247003897,0.024590894,,,0.491398639,0.04892203,8.995,
HP6-12,HP6-20230913,BM0723RP350,DS-0810-2-2,20230810-2,0.247003897,0.024590894,,,0.491398639,0.04892203,8.77,
HP2-1,HP2-20230830,PET,GU-0727-1-3,20230727-3,0.132355503,0.007254411,,,0.263312908,0.014432193,15.92,31.85751444
HP2-2,HP2-20230830,PET,GU-0727-1-1,20230727-1,0.184382235,0.010216672,,,0.366816801,0.020325423,14.835,30.7500613
HP2-3,HP2-20230830,PET,GU-0727-1-2,20230727-2,0.180076574,0.004778083,,,0.358250962,0.009505695,14.3705,30.00435407
HP27-1,HP27-20231107,,Gelatin_old buffer_5min_5,Gelatin_old buffer_5min_5,,,0.049181679,0.002177354,,,,
HP27-2,HP27-20231107,,Gelatin_new buffer_5min_5,Gelatin_new buffer_5min_5,,,0.047180171,0.000108868,,,,
HP27-3,HP27-20231107,,Gelatin_old buffer_5min_2.5,Gelatin_old buffer_5min_2.5,,,0.027694338,0.001564973,,,,
HP27-4,HP27-20231107,,Gelatin_new buffer_5min_2.5,Gelatin_new buffer_5min_2.5,,,0.027906035,0.004286665,,,,
HP27-5,HP27-20231107,,Gelatin_old buffer_5min_0,Gelatin_old buffer_5min_0,,,-0.000451867,0.000870941,,,,
HP27-6,HP27-20231107,,Gelatin_new buffer_5min_0,Gelatin_new buffer_5min_0,,,0.000933792,0.002286221,,,,
HP27-7,HP27-20231107,,Gelatin_old citrate_5min_5,Gelatin_old citrate_5min_5,,,0.037798103,9.53E-05,,,,
HP27-8,HP27-20231107,,Gelatin_old citrate_5min_2.5,Gelatin_old citrate_5min_2.5,,,0.026337546,0.001197544,,,,
HP27-9,HP27-20231107,,Gelatin_old citrate_5min_0,Gelatin_old citrate_5min_0,,,-0.000403754,0.000966201,,,,
HP27-10,HP27-20231107,,Gelatin_old buffer_10min_5,Gelatin_old buffer_10min_5,,,0.052898347,0.003674062,,,,
HP27-11,HP27-20231107,,Gelatin_new buffer_10min_5,Gelatin_new buffer_10min_5,,,0.050113554,0.002554228,,,,
HP27-12,HP27-20231107,,Gelatin_old buffer_10min_2.5,Gelatin_old buffer_10min_2.5,,,0.032790896,0.002491316,,,,
HP27-13,HP27-20231107,,Gelatin_new buffer_10min_2.5,Gelatin_new buffer_10min_2.5,,,0.030708974,0.001535053,,,,
HP27-14,HP27-20231107,,Gelatin_old buffer_10min_0,Gelatin_old buffer_10min_0,,,-0.000146177,0.001082087,,,,
HP27-15,HP27-20231107,,Gelatin_new buffer_10min_0,Gelatin_new buffer_10min_0,,,-1.27E-05,0.001094669,,,,
HP27-16,HP27-20231107,,Gelatin_old citrate_10min_5,Gelatin_old citrate_10min_5,,,0.054490929,0.00554884,,,,
HP27-17,HP27-20231107,,Gelatin_old citrate_10min_2.5,Gelatin_old citrate_10min_2.5,,,0.0336984,0.001182746,,,,
HP27-18,HP27-20231107,,Gelatin_old citrate_10min_0,Gelatin_old citrate_10min_0,,,-0.000110589,0.001107251,,,,
HP27-19,HP27-20231107,,Gelatin_old buffer_20min_5,Gelatin_old buffer_20min_5,,,0.062092843,0.00204535,,,,
HP27-20,HP27-20231107,,Gelatin_new buffer_20min_5,Gelatin_new buffer_20min_5,,,0.061119203,0.003368811,,,,
HP27-21,HP27-20231107,,Gelatin_old buffer_20min_2.5,Gelatin_old buffer_20min_2.5,,,0.033006534,0.000828834,,,,
HP27-22,HP27-20231107,,Gelatin_new buffer_20min_2.5,Gelatin_new buffer_20min_2.5,,,0.033205043,0.001243252,,,,
HP27-23,HP27-20231107,,Gelatin_old buffer_20min_0,Gelatin_old buffer_20min_0,,,0.000101288,0.001082832,,,,
HP27-24,HP27-20231107,,Gelatin_new buffer_20min_0,Gelatin_new buffer_20min_0,,,0.000148552,0.001042727,,,,
HP27-25,HP27-20231107,,Gelatin_old citrate_20min_5,Gelatin_old citrate_20min_5,,,0.061563485,0.003729755,,,,
HP27-26,HP27-20231107,,Gelatin_old citrate_20min_2.5,Gelatin_old citrate_20min_2.5,,,0.036305566,0.000975886,,,,
HP27-27,HP27-20231107,,Gelatin_old citrate_20min_0,Gelatin_old citrate_20min_0,,,8.24E-05,0.001082832,,,,
HP27-28,HP27-20231107,,Gelatin_old buffer_30min_5,Gelatin_old buffer_30min_5,,,0.068323416,0.003620352,,,,
HP27-29,HP27-20231107,,Gelatin_new buffer_30min_5,Gelatin_new buffer_30min_5,,,0.065508423,0.006408439,,,,
