"id","experiment_id","biopsy_id","biomaterial_id","mg_per_biopsy_mean","mg_per_biopsy_std","mg_per_ml_mean","mg_per_ml_std","mg_per_cm2_mean","mg_per_cm2_std","net_weight_mg","tissue_areal_density_mg_per_cm2","sample_id","hp_sid"
42,"HP21-20231027","20230928-2-_media_D25",NULL,NULL,NULL,"0.006288989",NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"HP21-20231027","20230928-2-_media_D28",NULL,NULL,NULL,"0.006526705",NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,"HP21-20231027","20230928-2-_media_D5",NULL,NULL,NULL,"0.00326031",NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"HP21-20231027","20230928-2-_media_dig_D11",NULL,NULL,NULL,"0.006697939",NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"HP21-20231027","20230928-2-_media_dig_D12",NULL,NULL,NULL,"0.007753515999999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"HP21-20231027","20230928-2-_media_dig_D14",NULL,NULL,NULL,"0.008272359",NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,"HP21-20231027","20230928-2-_media_dig_D18",NULL,NULL,NULL,"0.008451271",NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,"HP21-20231027","20230928-2-_media_dig_D21",NULL,NULL,NULL,"0.008397597",NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,"HP21-20231027","20230928-2-_media_dig_D25",NULL,NULL,NULL,"0.008111339",NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,"HP21-20231027","20230928-2-_media_dig_D28",NULL,NULL,NULL,"0.00922059",NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,"HP21-20231027","20230928-2-_media_dig_D5",NULL,NULL,NULL,"0.005248757",NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,"HP21-20231027","20230928-2-_media_dig_D9",NULL,NULL,NULL,"0.0061254230000000005",NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,"HP21-20231027","20230928-3-_media_D12",NULL,NULL,NULL,"0.005567036",NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"HP21-20231027","20230928-3-_media_D14",NULL,NULL,NULL,"0.0063770319999999995",NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,"HP21-20231027","20230928-3-_media_D18",NULL,NULL,NULL,"0.006421053",NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,"HP21-20231027","20230928-3-_media_D21",NULL,NULL,NULL,"0.006658769",NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"HP21-20231027","20230928-3-_media_D25",NULL,NULL,NULL,"0.00602486",NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,"HP21-20231027","20230928-3-_media_D5",NULL,NULL,NULL,"0.00182521",NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,"HP21-20231027","20230928-3-_media_dig_D11",NULL,NULL,NULL,"0.007914537",NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"HP21-20231027","20230928-3-_media_dig_D12",NULL,NULL,NULL,"0.006319117",NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,"HP21-20231027","20230928-3-_media_dig_D14",NULL,NULL,NULL,"0.00626617",NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,"HP21-20231027","20230928-3-_media_dig_D18",NULL,NULL,NULL,"0.008666428",NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,"HP21-20231027","20230928-3-_media_dig_D21",NULL,NULL,NULL,"0.008189906",NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,"HP21-20231027","20230928-3-_media_dig_D25",NULL,NULL,NULL,"0.00711332",NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,"HP21-20231027","20230928-3-_media_dig_D28",NULL,NULL,NULL,"0.008436991999999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,"HP21-20231027","20230928-3-_media_dig_D5",NULL,NULL,NULL,"0.006322225",NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,"HP21-20231027","20230928-3-_media_dig_D9",NULL,NULL,NULL,"0.008075556999999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,"HP21-20231027","TGFBS231005",NULL,NULL,NULL,"0.006285481",NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,"HP21-20231027","TGFBS231012",NULL,NULL,NULL,"0.00499068",NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,"HP21-20231027","TGFBS231019",NULL,NULL,NULL,"0.005866064",NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,"HP21-20231027","dig_TGFBS230927",NULL,NULL,NULL,"0.0036188270000000002",NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,"HP21-20231027","dig_TGFBS230927D",NULL,NULL,NULL,"0.003071709",NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,"HP21-20231027","dig_TGFBS230927G",NULL,NULL,NULL,"0.002948166",NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,"HP21-20231027","dig_TGFBS231004D",NULL,NULL,NULL,"0.0033187940000000003",NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,"HP21-20231027","dig_TGFBS231005",NULL,NULL,NULL,"0.003760018",NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,"HP21-20231027","dig_TGFBS231005G",NULL,NULL,NULL,"0.002965815",NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,"HP21-20231027","dig_TGFBS231012",NULL,NULL,NULL,"0.0040777",NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,"HP21-20231027","dig_TGFBS231012D",NULL,NULL,NULL,"0.002754028",NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,"HP21-20231027","dig_TGFBS231012G",NULL,NULL,NULL,"0.003760018",NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,"HP14-20231020","20230921-1-dig_media_D11",NULL,NULL,NULL,"0.001658205",NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,"HP14-20231020","20230921-1-dig_media_D12",NULL,NULL,NULL,"0.00149877",NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,"HP14-20231020","20230921-1-dig_media_D19",NULL,NULL,NULL,"0.0012769460000000002",NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,"HP14-20231020","20230921-1-dig_media_D25",NULL,NULL,NULL,"0.0014225179999999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL
