,hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg_x,tissue_areal_density_mg_per_cm2
176,HP21-33,HP21-20231027,,dig_TGFBS230927G,dig_TGFBS230927G,,,0.002948166,,,,,
216,HP21-34,HP21-20231027,,20230928-3-_media_dig_D11,20230928-3-_media_dig_D11,,,0.007914537,,,,,
220,HP21-35,HP21-20231027,,20230928-1-_media_dig_D28,20230928-1-_media_dig_D28,,,0.007324129,,,,,
224,HP21-36,HP21-20231027,,20230928-3-_media_dig_D9,20230928-3-_media_dig_D9,,,0.008075557,,,,,
228,HP21-37,HP21-20231027,,20230928-1-_media_dig_D25,20230928-1-_media_dig_D25,,,0.007878754,,,,,
232,HP21-38,HP21-20231027,,20230928-3-_media_dig_D5,20230928-3-_media_dig_D5,,,0.006322225,,,,,
236,HP21-39,HP21-20231027,,20230928-1-_media_dig_D21,20230928-1-_media_dig_D21,,,0.007252564,,,,,
240,HP21-40,HP21-20231027,,20230928-2-_media_dig_D28,20230928-2-_media_dig_D28,,,0.00922059,,,,,
244,HP21-41,HP21-20231027,,20230928-1-_media_dig_D18,20230928-1-_media_dig_D18,,,0.008218686,,,,,
248,HP21-42,HP21-20231027,,20230928-2-_media_dig_D25,20230928-2-_media_dig_D25,,,0.008111339,,,,,
252,HP21-43,HP21-20231027,,20230928-1-_media_dig_D14,20230928-1-_media_dig_D14,,,0.007252564,,,,,
256,HP21-44,HP21-20231027,,20230928-2-_media_dig_D21,20230928-2-_media_dig_D21,,,0.008397597,,,,,
260,HP21-45,HP21-20231027,,20230928-1-_media_dig_D12,20230928-1-_media_dig_D12,,,0.006805286,,,,,
264,HP21-46,HP21-20231027,,20230928-2-_media_dig_D18,20230928-2-_media_dig_D18,,,0.008451271,,,,,
268,HP21-47,HP21-20231027,,20230928-1-_media_dig_D11,20230928-1-_media_dig_D11,,,0.006501137,,,,,
272,HP21-48,HP21-20231027,,20230928-2-_media_dig_D14,20230928-2-_media_dig_D14,,,0.008272359,,,,,
276,HP21-49,HP21-20231027,,20230928-1-_media_dig_D9,20230928-1-_media_dig_D9,,,0.006411681,,,,,
