,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_ID,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
0,4,HP1,S0,standard,liquid,,,,,,,,,,,,,DS,0.0,,,07-26-2023,0.083,Plate1,E7,,0.017,0.9971046300288047,,,,,
1,4,HP1,S0,standard,liquid,,,,,,,,,,,,,DS,0.0,,,07-26-2023,0.106,Plate1,F7,,0.04,0.9971046300288047,,,,,
2,5,HP1,S1,standard,liquid,,,,,,,,,,,,,DS,0.2,,,07-26-2023,0.28800000000000003,Plate1,E8,,0.222,0.9971046300288047,,,,,
3,5,HP1,S1,standard,liquid,,,,,,,,,,,,,DS,0.2,,,07-26-2023,0.312,Plate1,F8,,0.24600000000000002,0.9971046300288047,,,,,
4,6,HP1,S2,standard,liquid,,,,,,,,,,,,,DS,0.4,,,07-26-2023,0.557,Plate1,E9,,0.4910000000000001,0.9971046300288047,,,,,
5,6,HP1,S2,standard,liquid,,,,,,,,,,,,,DS,0.4,,,07-26-2023,0.529,Plate1,F9,,0.46299999999999997,0.9971046300288047,,,,,
6,7,HP1,S3,standard,liquid,,,,,,,,,,,,,DS,0.6,,,07-26-2023,0.743,Plate1,E10,,0.677,0.9971046300288047,,,,,
7,7,HP1,S3,standard,liquid,,,,,,,,,,,,,DS,0.6,,,07-26-2023,0.735,Plate1,F10,,0.669,0.9971046300288047,,,,,
8,8,HP1,S4,standard,liquid,,,,,,,,,,,,,DS,0.8,,,07-26-2023,0.966,Plate1,E11,,0.8999999999999999,0.9971046300288047,,,,,
9,8,HP1,S4,standard,liquid,,,,,,,,,,,,,DS,0.8,,,07-26-2023,0.9440000000000001,Plate1,F11,,0.8779999999999999,0.9971046300288047,,,,,
10,9,HP1,S5,standard,liquid,,,,,,,,,,,,,DS,1.0,,,07-26-2023,1.12,Plate1,E12,,1.054,0.9971046300288047,,,,,
11,9,HP1,S5,standard,liquid,,,,,,,,,,,,,DS,1.0,,,07-26-2023,1.129,Plate1,F12,,1.063,0.9971046300288047,,,,,
12,17,HP1,DS-0727-3-1,sample,hide,727.0,230727-3,07-27-2023,1.0,8.0,1000.0,5.0,20.0,1675.58,1675.57,1657.44,1657.58,DS,,FBS,PET,08-30-2023,0.633,Plate1,E1,,0.5670000000000001,,18.064999999999827,0.506682824083082,0.1266707060207705,0.1266707060207705,0.25200336260182415
