,experiment_ID,biopsy_id,biomaterial_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,HP15-20231023,a4d1,,,,-0.00019121000815077615,,,,,
1,HP15-20231023,a4d2,,,,0.00019108612246100052,,,,,
2,HP15-20231023,a4d3,,,,9.048187756316466e-05,,,,,
3,HP15-20231023,a4d4,,,,0.001519062155112434,,,,,
4,HP15-20231023,a5d1,,,,-1.0122367334671465e-05,,,,,
5,HP15-20231023,a5d2,,,,9.048187756316465e-05,,,,,
6,HP15-20231023,a5d3,,,,0.00023132782042013464,,,,,
7,HP15-20231023,a5d4,,,,0.0010160409306232546,,,,,
8,HP15-20231023,a6d1,,,,0.00017096527348143317,,,,,
9,HP15-20231023,a6d2,,,,0.0001709652734814332,,,,,
10,HP15-20231023,a6d3,,,,0.0004928988571545083,,,,,
11,HP15-20231023,a6d4,,,,0.0011166451755210912,,,,,
12,HP15-20231023,b2d1,,,,-0.0017414946235444202,,,,,
13,HP15-20231023,b2d2,,,,-0.0014687537495944925,,,,,
14,HP15-20231023,b2d3,,,,-0.0010596424386695997,,,,,
15,HP15-20231023,b2d4,,,,0.00011314331931509324,,,,,
16,HP15-20231023,b3d1,,,,-0.0016596723613594424,,,,,
17,HP15-20231023,b3d2,,,,-0.00086872382690465,,,,,
18,HP15-20231023,b3d3,,,,-0.0010323683512746067,,,,,
19,HP15-20231023,b3d4,,,,-0.000841449739509657,,,,,
20,HP15-20231023,b4d1,,,,-0.0016051241865694564,,,,,
21,HP15-20231023,b4d2,,,,-0.001005094263879614,,,,,
22,HP15-20231023,b4d3,,,,-0.0007596274773246781,,,,,
23,HP15-20231023,b4d4,,,,4.046969735121991e-06,,,,,
24,HP15-20231023,b5d1,,,,-0.0014414796621994995,,,,,
25,HP15-20231023,b5d2,,,,-0.0008959979142996427,,,,,
26,HP15-20231023,b5d3,,,,-0.00024141981681981446,,,,,
27,HP15-20231023,b5d4,,,,0.0010786460130978394,,,,,
28,HP15-20231023,b6d1,,,,-0.0008687238269046499,,,,,
29,HP15-20231023,b6d2,,,,-0.0002686939042148068,,,,,
30,HP15-20231023,b6d3,,,,0.0004949805428449921,,,,,
31,HP15-20231023,b6d4,,,,0.0008495436789798993,,,,,
32,HP15-20231023,c2d1,,,,-0.0016975152689543544,,,,,
33,HP15-20231023,c2d2,,,,-0.002136172091540143,,,,,
34,HP15-20231023,c2d3,,,,-0.0003188795408275919,,,,,
35,HP15-20231023,c2d4,,,,8.844465157349826e-05,,,,,
36,HP15-20231023,c3d1,,,,-0.0018228457896931514,,,,,
37,HP15-20231023,c3d2,,,,-0.002355500502833038,,,,,
38,HP15-20231023,c3d3,,,,-0.000976864774706274,,,,,
39,HP15-20231023,c3d4,,,,5.7112021388798235e-05,,,,,
40,HP15-20231023,c4d1,,,,-0.0022928352424636395,,,,,
41,HP15-20231023,c4d2,,,,-0.0019481763104319482,,,,,
42,HP15-20231023,c4d3,,,,0.0001824425421275949,,,,,
43,HP15-20231023,c4d4,,,,0.0007150972552674806,,,,,
44,HP15-20231023,c5d1,,,,-0.002449498393387135,,,,,
45,HP15-20231023,c5d2,,,,-0.0022301699820942407,,,,,
46,HP15-20231023,c5d3,,,,-0.0001308837597193968,,,,,
47,HP15-20231023,c5d4,,,,0.0010910888174838712,,,,,
48,HP15-20231023,c6d1,,,,-0.002136172091540144,,,,,
49,HP15-20231023,c6d2,,,,-0.0018228457896931512,,,,,
50,HP15-20231023,c6d3,,,,0.000589766734528684,,,,,
51,HP15-20231023,c6d4,,,,5.711202138879878e-05,,,,,
52,HP15-20231023,d2d1,,,,-0.0011707992332917459,,,,,
53,HP15-20231023,d2d2,,,,-0.0011316720906182189,,,,,
54,HP15-20231023,d2d3,,,,-0.0008447397110123595,,,,,
55,HP15-20231023,d2d4,,,,-0.0010534178052711667,,,,,
56,HP15-20231023,d3d1,,,,-0.0012751382804211484,,,,,
57,HP15-20231023,d3d2,,,,-0.0011316720906182193,,,,,
58,HP15-20231023,d3d3,,,,-0.000818654949230009,,,,,
59,HP15-20231023,d3d4,,,,-0.0009882059008152896,,,,,
60,HP15-20231023,d4d1,,,,-0.0013533925657682015,,,,,
61,HP15-20231023,d4d2,,,,-0.0012099263759652716,,,,,
62,HP15-20231023,d4d3,,,,-0.000818654949230009,,,,,
63,HP15-20231023,d4d4,,,,-0.0007143159021006057,,,,,
64,HP15-20231023,d5d1,,,,-0.0011968839950740966,,,,,
65,HP15-20231023,d5d2,,,,-0.0010534178052711667,,,,,
66,HP15-20231023,d5d3,,,,-0.0008577820919035352,,,,,
67,HP15-20231023,d5d4,,,,-0.0007664854256653076,,,,,
68,HP15-20231023,d6d1,,,,-0.0011707992332917459,,,,,
69,HP15-20231023,d6d2,,,,-0.0007664854256653076,,,,,
70,HP15-20231023,d6d3,,,,-0.0008316973301211845,,,,,
71,HP15-20231023,d6d4,,,,-0.0005578073314065014,,,,,
