,HP_sid,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
21,14,HP82-20240202,Hyp-water_0.1,sample,liquid,,Hyp-water_0.1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.652,Plate2,B2,,0.652,,,0.43551282871896413,0.08710256574379283,,,,,,,0.08702220789795975,0.08702220789795975
22,14,HP82-20240202,Hyp-water_0.1,sample,liquid,,Hyp-water_0.1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.635,Plate2,C2,,0.635,,,0.4218519949273427,0.08437039898546854,,,,,,,0.08702220789795975,0.08702220789795975
23,14,HP82-20240202,Hyp-water_0.1,sample,liquid,,Hyp-water_0.1,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.651,Plate2,D2,,0.651,,,0.43470925026063345,0.08694185005212669,,,,,,,0.08702220789795975,0.08702220789795975
24,15,HP82-20240202,Hyp-water_0.05,sample,liquid,,Hyp-water_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.404,Plate2,A3,,0.404,,,0.23622537105295888,0.04724507421059178,,,,,,,0.04129859361894485,0.04129859361894485
25,15,HP82-20240202,Hyp-water_0.05,sample,liquid,,Hyp-water_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.356,Plate2,B3,,0.356,,,0.19765360505308688,0.03953072101061737,,,,,,,0.04129859361894485,0.04129859361894485
26,15,HP82-20240202,Hyp-water_0.05,sample,liquid,,Hyp-water_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.362,Plate2,C3,,0.362,,,0.2024750758030709,0.04049501516061418,,,,,,,0.04129859361894485,0.04129859361894485
27,15,HP82-20240202,Hyp-water_0.05,sample,liquid,,Hyp-water_0.05,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.372,Plate2,D3,,0.372,,,0.21051086038637756,0.04210217207727551,,,,,,,0.04129859361894485,0.04129859361894485
28,16,HP82-20240202,Hyp-water_0.025,sample,liquid,,Hyp-water_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.24,Plate2,A4,,0.24,,,0.1044385038867296,0.02088770077734592,,,,,,,0.019360901706517657,0.019360901706517657
29,16,HP82-20240202,Hyp-water_0.025,sample,liquid,,Hyp-water_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.228,Plate2,B4,,0.228,,,0.09479556238676162,0.018959112477352325,,,,,,,0.019360901706517657,0.019360901706517657
30,16,HP82-20240202,Hyp-water_0.025,sample,liquid,,Hyp-water_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.229,Plate2,C4,,0.229,,,0.09559914084509227,0.019119828169018454,,,,,,,0.019360901706517657,0.019360901706517657
31,16,HP82-20240202,Hyp-water_0.025,sample,liquid,,Hyp-water_0.025,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.232,Plate2,D4,,0.232,,,0.09800987622008428,0.019601975244016856,,,,,,,0.019360901706517657,0.019360901706517657
