,HP_sid,experiment_ID,biomaterial_id,sample_ID,biopsy_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,1,HP82-20240202,,Gelatin-water_2.5,Gelatin-water_2.5,,,0.2927318983605316,,,,,
1,10,HP82-20240202,,Gelatin-media_0.3125,Gelatin-media_0.3125,,,0.04083552924258157,,,,,
2,11,HP82-20240202,,Gelatin-media_0.15625,Gelatin-media_0.15625,,,0.021458885464277707,,,,,
3,12,HP82-20240202,,Gelatin-media_0.078125,Gelatin-media_0.078125,,,0.012735201685301092,,,,,
4,13,HP82-20240202,,Hyp-water_0.2,Hyp-water_0.2,,,0.17461225985600234,,,,,
5,14,HP82-20240202,,Hyp-water_0.1,Hyp-water_0.1,,,0.08702220789795975,,,,,
6,15,HP82-20240202,,Hyp-water_0.05,Hyp-water_0.05,,,0.04129859361894485,,,,,
7,16,HP82-20240202,,Hyp-water_0.025,Hyp-water_0.025,,,0.019360901706517657,,,,,
8,17,HP82-20240202,,Hyp-water_0.0125,Hyp-water_0.0125,,,0.00786972975238913,,,,,
9,18,HP82-20240202,,Hyp-water_0.00625,Hyp-water_0.00625,,,0.002566111927406731,,,,,
10,19,HP82-20240202,,Hyp-media_0.2,Hyp-media_0.2,,,0.19132669178928022,,,,,
11,2,HP82-20240202,,Gelatin-water_1.25,Gelatin-water_1.25,,,0.15323683947170347,,,,,
12,20,HP82-20240202,,Hyp-media_0.1,Hyp-media_0.1,,,0.10180805153124399,,,,,
13,21,HP82-20240202,,Hyp-media_0.05,Hyp-media_0.05,,,0.055763005868896834,,,,,
14,22,HP82-20240202,,Hyp-media_0.025,Hyp-media_0.025,,,0.029807421664816314,,,,,
15,23,HP82-20240202,,Hyp-media_0.0125,Hyp-media_0.0125,,,0.01670909279402645,,,,,
16,24,HP82-20240202,,Hyp-media_0.00625,Hyp-media_0.00625,,,0.010280465127381126,,,,,
17,25,HP82-20240202,,Col_1,Col_1,,,0.12414753267283654,,,,,
18,26,HP82-20240202,,Col_0.5,Col_0.5,,,0.05728980493972512,,,,,
19,27,HP82-20240202,,Water,Water,,,-0.0024239256677701278,,,,,
20,28,HP82-20240202,,Media,Media,,,-0.00010457793907688664,,,,,
21,3,HP82-20240202,,Gelatin-water_0.625,Gelatin-water_0.625,,,0.07103289616980837,,,,,
22,4,HP82-20240202,,Gelatin-water_0.3125,Gelatin-water_0.3125,,,0.032866779636785616,,,,,
23,5,HP82-20240202,,Gelatin-water_0.15625,Gelatin-water_0.15625,,,0.014412833181258132,,,,,
24,6,HP82-20240202,,Gelatin-water_0.078125,Gelatin-water_0.078125,,,0.0053536231030900956,,,,,
25,7,HP82-20240202,,Gelatin-media_2.5,Gelatin-media_2.5,,,0.2640443997796663,,,,,
26,8,HP82-20240202,,Gelatin-media_1.25,Gelatin-media_1.25,,,0.14711348451146028,,,,,
27,9,HP82-20240202,,Gelatin-media_0.625,Gelatin-media_0.625,,,0.07682072483086017,,,,,
