,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
23,58,HP45-20231258,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.143,Plate1,E2,,0.143,,,1.9053968452343009,0.20244841480614448,,
24,58,HP45-20231258,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.142,Plate1,F2,,0.142,,,1.8611895972111414,0.19775139470368377,,
25,58,HP45-20231258,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.141,Plate1,G2,,0.141,,,1.816982349187981,0.193054374601223,,
26,15,HP45-20231215,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.149,Plate1,A3,,0.149,,,2.1706403333732593,0.2306305354209088,,
27,15,HP45-20231215,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.16,Plate1,B3,,0.16,,,2.656920061628017,0.2822977565479768,,
28,15,HP45-20231215,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.196,Plate1,C3,,0.196,,,4.248380990461769,0.4513904802365629,,
29,15,HP45-20231215,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.206,Plate1,D3,,0.206,,,4.690453470693365,0.49836068126117,,
30,59,HP45-20231259,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.199,Plate1,E3,,0.199,,,4.381002734531247,0.46548154054394497,,
31,59,HP45-20231259,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.212,Plate1,F3,,0.212,,,4.955696958832323,0.5265428018759344,,
32,59,HP45-20231259,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.237,Plate1,G3,,0.237,,,6.060878159411317,0.6439683044374525,,
33,16,HP45-20231216,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.193,Plate1,A4,,0.193,,,4.1157592463922885,0.4372994199291807,,
34,16,HP45-20231216,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.18,Plate1,B4,,0.18,,,3.541065022091211,0.3762381585971912,,
35,16,HP45-20231216,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.188,Plate1,C4,,0.188,,,3.8947230062764895,0.41381431941687696,,
36,16,HP45-20231216,B-D01,sample,liquid,EXP 50,B-D01,11-08-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.184,Plate1,D4,,0.184,,,3.71789401418385,0.3950262390070341,,
37,60,HP45-20231260,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.146,Plate1,E4,,0.146,,,2.03801858930378,0.2165394751135266,,
38,60,HP45-20231260,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.147,Plate1,F4,,0.147,,,2.0822258373269404,0.2212364952159874,,
39,60,HP45-20231260,B-D01,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D01,11-08-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.146,Plate1,G4,,0.146,,,2.03801858930378,0.2165394751135266,,
40,17,HP45-20231217,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.198,Plate1,A5,,0.198,,,4.3367954865080875,0.4607845204414843,,
41,17,HP45-20231217,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.196,Plate1,B5,,0.196,,,4.248380990461769,0.4513904802365629,,
42,17,HP45-20231217,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.192,Plate1,C5,,0.192,,,4.071551998369129,0.43260239982671994,,
43,17,HP45-20231217,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.193,Plate1,D5,,0.193,,,4.1157592463922885,0.4372994199291807,,
44,61,HP45-20231261,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.154,Plate1,E5,,0.154,,,2.3916765734890584,0.25411563593321246,,
45,61,HP45-20231261,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.153,Plate1,F5,,0.153,,,2.347469325465899,0.24941861583075178,,
46,61,HP45-20231261,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.15,Plate1,G5,,0.15,,,2.2148475813964197,0.2353275555233696,,
47,18,HP45-20231218,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.195,Plate1,A6,,0.195,,,4.204173742438607,0.446693460134102,,
48,18,HP45-20231218,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.193,Plate1,B6,,0.193,,,4.1157592463922885,0.4372994199291807,,
49,18,HP45-20231218,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.193,Plate1,C6,,0.193,,,4.1157592463922885,0.4372994199291807,,
50,18,HP45-20231218,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.189,Plate1,D6,,0.189,,,3.938930254299649,0.4185113395193377,,
51,62,HP45-20231262,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.154,Plate1,E6,,0.154,,,2.3916765734890584,0.25411563593321246,,
52,62,HP45-20231262,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.158,Plate1,F6,,0.158,,,2.568505565581698,0.27290371634305544,,
53,62,HP45-20231262,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.158,Plate1,G6,,0.158,,,2.568505565581698,0.27290371634305544,,
54,19,HP45-20231219,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.206,Plate1,A7,,0.206,,,4.690453470693365,0.49836068126117,,
55,19,HP45-20231219,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.198,Plate1,B7,,0.198,,,4.3367954865080875,0.4607845204414843,,
56,19,HP45-20231219,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.192,Plate1,C7,,0.192,,,4.071551998369129,0.43260239982671994,,
57,19,HP45-20231219,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.288,Plate1,D7,,0.288,,,8.315447808592463,0.8835163296629492,,
58,63,HP45-20231263,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.161,Plate1,E7,,0.161,,,2.701127309651177,0.2869947766504376,,
59,63,HP45-20231263,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.162,Plate1,F7,,0.162,,,2.7453345576743367,0.29169179675289825,,
60,63,HP45-20231263,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.16,Plate1,G7,,0.16,,,2.656920061628017,0.2822977565479768,,
61,20,HP45-20231220,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.201,Plate1,A8,,0.201,,,4.469417230577566,0.4748755807488664,,
62,20,HP45-20231220,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.197,Plate1,B8,,0.197,,,4.292588238484928,0.45608750033902357,,
63,20,HP45-20231220,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.196,Plate1,C8,,0.196,,,4.248380990461769,0.4513904802365629,,
64,20,HP45-20231220,B-D02,sample,liquid,EXP 50,B-D02,11-09-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.191,Plate1,D8,,0.191,,,4.02734475034597,0.4279053797242593,,
65,64,HP45-20231264,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.156,Plate1,E8,,0.156,,,2.480091069535378,0.2635096761381339,,
66,64,HP45-20231264,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.156,Plate1,F8,,0.156,,,2.480091069535378,0.2635096761381339,,
67,64,HP45-20231264,B-D02,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D02,11-09-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.155,Plate1,G8,,0.155,,,2.4358838215122187,0.2588126560356732,,
68,21,HP45-20231221,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.235,Plate1,A9,,0.235,,,5.972463663364996,0.6345742642325308,,
69,21,HP45-20231221,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.213,Plate1,B9,,0.213,,,4.999904206855483,0.531239821978395,,
70,21,HP45-20231221,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.205,Plate1,C9,,0.205,,,4.646246222670204,0.4936636611587092,,
71,21,HP45-20231221,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.207,Plate1,D9,,0.207,,,4.734660718716524,0.5030577013636307,,
72,65,HP45-20231265,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.159,Plate1,E9,,0.159,,,2.6127128136048574,0.2776007364455161,,
73,65,HP45-20231265,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.156,Plate1,F9,,0.156,,,2.480091069535378,0.2635096761381339,,
74,65,HP45-20231265,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.15,Plate1,G9,,0.15,,,2.2148475813964197,0.2353275555233696,,
75,22,HP45-20231222,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.206,Plate1,A10,,0.206,,,4.690453470693365,0.49836068126117,,
76,22,HP45-20231222,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.201,Plate1,B10,,0.201,,,4.469417230577566,0.4748755807488664,,
77,22,HP45-20231222,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.197,Plate1,C10,,0.197,,,4.292588238484928,0.45608750033902357,,
78,22,HP45-20231222,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.198,Plate1,D10,,0.198,,,4.3367954865080875,0.4607845204414843,,
79,66,HP45-20231266,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.15,Plate1,E10,,0.15,,,2.2148475813964197,0.2353275555233696,,
80,66,HP45-20231266,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.15,Plate1,F10,,0.15,,,2.2148475813964197,0.2353275555233696,,
