,experiment_ID,biopsy_id,biomaterial_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
0,HP85-20240209,A1-1-D07,,,,0.007508086389286109,,,,,
1,HP85-20240209,A1-2-D07,,,,0.009134168256072803,,,,,
2,HP85-20240209,A1-4-D05,,,,,,,,,
3,HP85-20240209,A2-1-D07,,,,0.007424484177525899,,,,,
4,HP85-20240209,A2-2-D07,,,,0.0070660981168084586,,,,,
5,HP85-20240209,A2-4-D05,,,,,,,,,
6,HP85-20240209,A3-1-D07,,,,0.007090075330485048,,,,,
7,HP85-20240209,A3-2-D07,,,,0.006979928527672444,,,,,
8,HP85-20240209,A3-4-D05,,,,,,,,,
9,HP85-20240209,A4-1-D07,,,,0.00834410850688822,,,,,
10,HP85-20240209,A4-2-D07,,,,0.010254372914840989,,,,,
11,HP85-20240209,A4-4-D05,,,,,,,,,
12,HP85-20240209,A5-1-D07,,,,0.009180130624490333,,,,,
13,HP85-20240209,A5-2-D07,,,,0.008186302775576646,,,,,
14,HP85-20240209,A5-4-D05,,,,,,,,,
15,HP85-20240209,A6-1-D07,,,,0.009765346106811814,,,,,
16,HP85-20240209,A6-2-D07,,,,0.009220337845208816,,,,,
17,HP85-20240209,A6-4-D05,,,,,,,,,
18,HP85-20240209,B1-1-D07,,,,0.0037459868600765887,,,,,
19,HP85-20240209,B1-2-D07,,,,0.004911858388408098,,,,,
20,HP85-20240209,B1-3-D05,,,,,,,,,
21,HP85-20240209,B1-4-D05,,,,,,,,,
22,HP85-20240209,B2-1-D07,,,,0.0067556664834442035,,,,,
23,HP85-20240209,B2-2-D07,,,,0.00827247236471266,,,,,
24,HP85-20240209,B2-3-D05,,,,,,,,,
25,HP85-20240209,B2-4-D05,,,,,,,,,
26,HP85-20240209,B3-1-D07,,,,0.0081769040833678,,,,,
27,HP85-20240209,B3-2-D07,,,,0.009220337845208815,,,,,
28,HP85-20240209,B3-3-D05,,,,,,,,,
29,HP85-20240209,B3-4-D05,,,,,,,,,
30,HP85-20240209,B4-1-D07,,,,0.008762119565689275,,,,,
31,HP85-20240209,B4-3-D05,,,,,,,,,
32,HP85-20240209,B4-4-D05,,,,,,,,,
33,HP85-20240209,B5-1-D07,,,,0.008678517353929067,,,,,
34,HP85-20240209,B5-3-D05,,,,,,,,,
35,HP85-20240209,B5-4-D05,,,,,,,,,
36,HP85-20240209,B6-1-D07,,,,0.006003246577602298,,,,,
37,HP85-20240209,B6-3-D05,,,,,,,,,
38,HP85-20240209,B6-4-D05,,,,,,,,,
39,HP85-20240209,C1-1-D07,,,,0.006922870906964628,,,,,
40,HP85-20240209,C1-2-D07,,,,0.006635250171128387,,,,,
41,HP85-20240209,C1-4-D05,,,,,,,,,
42,HP85-20240209,C2-1-D07,,,,0.008762119565689274,,,,,
43,HP85-20240209,C2-2-D07,,,,0.008186302775576648,,,,,
44,HP85-20240209,C2-4-D05,,,,,,,,,
45,HP85-20240209,C3-1-D07,,,,0.008009699659847377,,,,,
46,HP85-20240209,C3-2-D07,,,,0.008617150721256716,,,,,
47,HP85-20240209,C3-4-D05,,,,,,,,,
48,HP85-20240209,C4-1-D07,,,,0.008929323989209698,,,,,
49,HP85-20240209,C4-2-D07,,,,0.010168203325704976,,,,,
50,HP85-20240209,C4-4-D05,,,,,,,,,
51,HP85-20240209,C5-1-D07,,,,0.008678517353929063,,,,,
52,HP85-20240209,C5-2-D07,,,,0.010771390449657074,,,,,
53,HP85-20240209,C5-4-D05,,,,,,,,,
54,HP85-20240209,C6-1-D07,,,,0.010350561589133292,,,,,
55,HP85-20240209,C6-2-D07,,,,0.013097969356329463,,,,,
56,HP85-20240209,C6-4-D05,,,,,,,,,
57,HP85-20240209,D1-1-D07,,,,0.009823524969160915,,,,,
58,HP85-20240209,D1-3-D05,,,,,,,,,
59,HP85-20240209,D1-4-D05,,,,,,,,,
60,HP85-20240209,E1-1-D07,,,,0.008186302775576646,,,,,
61,HP85-20240209,E1-3-D05,,,,,,,,,
62,HP85-20240209,E1-4-D05,,,,,,,,,
63,HP85-20240209,Group E Fresh-D07,,,,0.0026714490708717245,,,,,
