,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
0,7,HP85-20240209,S5,standard,liquid,231108,s5,11-28-2023,1,,,1,20,,,,,DS,1,,,02-08-2024,1.241,Plate1,E7,,1.241,0.9920595140075439,,,,,
1,7,HP85-20240209,S5,standard,liquid,231108,s5,11-28-2023,1,,,1,20,,,,,DS,1,,,02-08-2024,1.349,Plate1,F7,,1.349,0.9920595140075439,,,,,
2,8,HP85-20240209,S4,standard,liquid,231108,s4,11-28-2023,1,,,1,20,,,,,DS,0.8,,,02-08-2024,1.0,Plate1,E8,,1.0,0.9920595140075439,,,,,
3,8,HP85-20240209,S4,standard,liquid,231108,s4,11-28-2023,1,,,1,20,,,,,DS,0.8,,,02-08-2024,1.016,Plate1,F8,,1.016,0.9920595140075439,,,,,
4,9,HP85-20240209,S3,standard,liquid,231108,s3,11-28-2023,1,,,1,20,,,,,DS,0.6,,,02-08-2024,0.761,Plate1,E9,,0.761,0.9920595140075439,,,,,
5,9,HP85-20240209,S3,standard,liquid,231108,s3,11-28-2023,1,,,1,20,,,,,DS,0.6,,,02-08-2024,0.86,Plate1,F9,,0.86,0.9920595140075439,,,,,
6,10,HP85-20240209,S2,standard,liquid,231108,s2,11-28-2023,1,,,1,20,,,,,DS,0.4,,,02-08-2024,0.524,Plate1,E10,,0.524,0.9920595140075439,,,,,
7,10,HP85-20240209,S2,standard,liquid,231108,s2,11-28-2023,1,,,1,20,,,,,DS,0.4,,,02-08-2024,0.571,Plate1,F10,,0.571,0.9920595140075439,,,,,
8,11,HP85-20240209,S1,standard,liquid,231108,s1,11-28-2023,1,,,1,20,,,,,DS,0.2,,,02-08-2024,0.343,Plate1,E11,,0.343,0.9920595140075439,,,,,
9,11,HP85-20240209,S1,standard,liquid,231108,s1,11-28-2023,1,,,1,20,,,,,DS,0.2,,,02-08-2024,0.307,Plate1,F11,,0.307,0.9920595140075439,,,,,
10,12,HP85-20240209,S0,standard,liquid,231108,s0,11-28-2023,1,,,1,20,,,,,DS,0,,,02-08-2024,0.091,Plate1,E12,,0.091,0.9920595140075439,,,,,
11,12,HP85-20240209,S0,standard,liquid,231108,s0,11-28-2023,1,,,1,20,,,,,DS,0,,,02-08-2024,0.094,Plate1,F12,,0.094,0.9920595140075439,,,,,
12,66,HP85-20240209,B1-3,sample,liquid,D05,B1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.143,Plate1,A1,,0.143,,,0.05223549654575725,,,
13,66,HP85-20240209,B1-3,sample,liquid,D05,B1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.149,Plate1,B1,,0.149,,,0.05724078209904175,,,
14,66,HP85-20240209,B1-3,sample,liquid,D05,B1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.142,Plate1,C1,,0.142,,,0.0514012822868765,,,
15,66,HP85-20240209,B1-3,sample,liquid,D05,B1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.149,Plate1,D1,,0.149,,,0.05724078209904175,,,
16,77,HP85-20240209,A4-4,sample,liquid,D05,A4-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.169,Plate1,E1,,0.169,,,0.07392506727665676,,,
17,77,HP85-20240209,A4-4,sample,liquid,D05,A4-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.177,Plate1,F1,,0.177,,,0.08059878134770276,,,
18,77,HP85-20240209,A4-4,sample,liquid,D05,A4-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.166,Plate1,G1,,0.166,,,0.07142242450001451,,,
19,77,HP85-20240209,A4-4,sample,liquid,D05,A4-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.173,Plate1,H1,,0.173,,,0.07726192431217976,,,
20,67,HP85-20240209,B2-3,sample,liquid,D05,B2-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.162,Plate1,A2,,0.162,,,0.06808556746449151,,,
21,67,HP85-20240209,B2-3,sample,liquid,D05,B2-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.165,Plate1,B2,,0.165,,,0.07058821024113376,,,
22,67,HP85-20240209,B2-3,sample,liquid,D05,B2-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.161,Plate1,C2,,0.161,,,0.06725135320561076,,,
23,67,HP85-20240209,B2-3,sample,liquid,D05,B2-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.167,Plate1,D2,,0.167,,,0.07225663875889526,,,
24,78,HP85-20240209,A5-4,sample,liquid,D05,A5-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.165,Plate1,E2,,0.165,,,0.07058821024113376,,,
25,78,HP85-20240209,A5-4,sample,liquid,D05,A5-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.173,Plate1,F2,,0.173,,,0.07726192431217976,,,
26,78,HP85-20240209,A5-4,sample,liquid,D05,A5-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.162,Plate1,G2,,0.162,,,0.06808556746449151,,,
27,78,HP85-20240209,A5-4,sample,liquid,D05,A5-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.175,Plate1,H2,,0.175,,,0.07893035282994126,,,
28,68,HP85-20240209,B3-3,sample,liquid,D05,B3-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.171,Plate1,A3,,0.171,,,0.07559349579441826,,,
29,68,HP85-20240209,B3-3,sample,liquid,D05,B3-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.174,Plate1,B3,,0.174,,,0.07809613857106051,,,
30,68,HP85-20240209,B3-3,sample,liquid,D05,B3-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.17,Plate1,C3,,0.17,,,0.07475928153553751,,,
31,68,HP85-20240209,B3-3,sample,liquid,D05,B3-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.175,Plate1,D3,,0.175,,,0.07893035282994126,,,
32,79,HP85-20240209,A6-4,sample,liquid,D05,A6-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.164,Plate1,E3,,0.164,,,0.06975399598225301,,,
33,79,HP85-20240209,A6-4,sample,liquid,D05,A6-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.179,Plate1,F3,,0.179,,,0.08226720986546426,,,
34,79,HP85-20240209,A6-4,sample,liquid,D05,A6-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.166,Plate1,G3,,0.166,,,0.07142242450001451,,,
35,79,HP85-20240209,A6-4,sample,liquid,D05,A6-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.17,Plate1,H3,,0.17,,,0.07475928153553751,,,
36,69,HP85-20240209,B4-3,sample,liquid,D05,B4-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.16,Plate1,A4,,0.16,,,0.06641713894673001,,,
37,69,HP85-20240209,B4-3,sample,liquid,D05,B4-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.164,Plate1,B4,,0.164,,,0.06975399598225301,,,
38,69,HP85-20240209,B4-3,sample,liquid,D05,B4-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.163,Plate1,C4,,0.163,,,0.06891978172337226,,,
39,69,HP85-20240209,B4-3,sample,liquid,D05,B4-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.165,Plate1,D4,,0.165,,,0.07058821024113376,,,
40,80,HP85-20240209,C1-4,sample,liquid,D05,C1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.155,Plate1,E4,,0.155,,,0.062246067652326265,,,
41,80,HP85-20240209,C1-4,sample,liquid,D05,C1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.158,Plate1,F4,,0.158,,,0.06474871042896851,,,
42,80,HP85-20240209,C1-4,sample,liquid,D05,C1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.158,Plate1,G4,,0.158,,,0.06474871042896851,,,
43,80,HP85-20240209,C1-4,sample,liquid,D05,C1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.162,Plate1,H4,,0.162,,,0.06808556746449151,,,
44,70,HP85-20240209,B5-3,sample,liquid,D05,B5-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.154,Plate1,A5,,0.154,,,0.061411853393445515,,,
45,70,HP85-20240209,B5-3,sample,liquid,D05,B5-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.157,Plate1,B5,,0.157,,,0.06391449617008776,,,
46,70,HP85-20240209,B5-3,sample,liquid,D05,B5-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.153,Plate1,C5,,0.153,,,0.060577639134564765,,,
47,70,HP85-20240209,B5-3,sample,liquid,D05,B5-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.158,Plate1,D5,,0.158,,,0.06474871042896851,,,
48,81,HP85-20240209,C2-4,sample,liquid,D05,C2-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.173,Plate1,E5,,0.173,,,0.07726192431217976,,,
49,81,HP85-20240209,C2-4,sample,liquid,D05,C2-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.185,Plate1,F5,,0.185,,,0.08727249541874876,,,
50,81,HP85-20240209,C2-4,sample,liquid,D05,C2-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.179,Plate1,G5,,0.179,,,0.08226720986546426,,,
51,81,HP85-20240209,C2-4,sample,liquid,D05,C2-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.183,Plate1,H5,,0.183,,,0.08560406690098726,,,
52,71,HP85-20240209,B6-3,sample,liquid,D05,B6-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.15,Plate1,A6,,0.15,,,0.058074996357922515,,,
53,71,HP85-20240209,B6-3,sample,liquid,D05,B6-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.152,Plate1,B6,,0.152,,,0.059743424875684015,,,
54,71,HP85-20240209,B6-3,sample,liquid,D05,B6-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.149,Plate1,C6,,0.149,,,0.05724078209904175,,,
55,71,HP85-20240209,B6-3,sample,liquid,D05,B6-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.153,Plate1,D6,,0.153,,,0.060577639134564765,,,
56,82,HP85-20240209,C3-4,sample,liquid,D05,C3-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.17,Plate1,E6,,0.17,,,0.07475928153553751,,,
57,82,HP85-20240209,C3-4,sample,liquid,D05,C3-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.187,Plate1,F6,,0.187,,,0.08894092393651026,,,
58,82,HP85-20240209,C3-4,sample,liquid,D05,C3-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.173,Plate1,G6,,0.173,,,0.07726192431217976,,,
59,82,HP85-20240209,C3-4,sample,liquid,D05,C3-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.181,Plate1,H6,,0.181,,,0.08393563838322576,,,
60,72,HP85-20240209,D1-3,sample,liquid,D05,D1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.132,Plate1,A7,,0.132,,,0.043059139698069016,,,
61,72,HP85-20240209,D1-3,sample,liquid,D05,D1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.163,Plate1,B7,,0.163,,,0.06891978172337226,,,
62,72,HP85-20240209,D1-3,sample,liquid,D05,D1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.159,Plate1,C7,,0.159,,,0.06558292468784926,,,
63,72,HP85-20240209,D1-3,sample,liquid,D05,D1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.163,Plate1,D7,,0.163,,,0.06891978172337226,,,
64,73,HP85-20240209,E1-3,sample,liquid,D05,E1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.158,Plate1,A8,,0.158,,,0.06474871042896851,,,
65,73,HP85-20240209,E1-3,sample,liquid,D05,E1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.168,Plate1,B8,,0.168,,,0.07309085301777601,,,
66,73,HP85-20240209,E1-3,sample,liquid,D05,E1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.164,Plate1,C8,,0.164,,,0.06975399598225301,,,
67,73,HP85-20240209,E1-3,sample,liquid,D05,E1-3-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.166,Plate1,D8,,0.166,,,0.07142242450001451,,,
68,74,HP85-20240209,A1-4,sample,liquid,D05,A1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.164,Plate1,A10,,0.164,,,0.06975399598225301,,,
69,74,HP85-20240209,A1-4,sample,liquid,D05,A1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.166,Plate1,B10,,0.166,,,0.07142242450001451,,,
70,74,HP85-20240209,A1-4,sample,liquid,D05,A1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.166,Plate1,C10,,0.166,,,0.07142242450001451,,,
71,74,HP85-20240209,A1-4,sample,liquid,D05,A1-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.168,Plate1,D10,,0.168,,,0.07309085301777601,,,
72,75,HP85-20240209,A2-4,sample,liquid,D05,A2-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.162,Plate1,A11,,0.162,,,0.06808556746449151,,,
73,75,HP85-20240209,A2-4,sample,liquid,D05,A2-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.164,Plate1,B11,,0.164,,,0.06975399598225301,,,
74,75,HP85-20240209,A2-4,sample,liquid,D05,A2-4-D05,01-08-2024,1,,200,,20,,,,,DS,,,,02-08-2024,0.164,Plate1,C11,,0.164,,,0.06975399598225301,,,
