,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
0,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,9/28/23,1.0,,200.0,2,50,,,,,RT,,TGFBS,,10/23/23,0.29,Plate1,E1,o,0.29,,,0.181269622,0.007250785,,
1,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,9/28/23,1.0,,200.0,2,50,,,,,RT,,TGFBS,,10/23/23,0.29600000000000004,Plate1,F1,o,0.29600000000000004,,,0.186796738,0.00747187,,
2,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,9/28/23,1.0,,200.0,2,50,,,,,RT,,TGFBS,,10/23/23,0.29,Plate1,G1,o,0.29,,,0.181269622,0.007250785,,
3,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,9/28/23,1.0,,200.0,2,50,,,,,RT,,TGFBS,,10/23/23,0.29,Plate1,H1,o,0.29,,,0.181269622,0.007250785,,
4,23,HP16-20231023,S5,standard,liquid,,,,,,,1,20,,,,,,1.0,,,01-00-1900,1.16,Plate1,E10,,1.16,0.9969865167625916,,,,,
5,23,HP16-20231023,S5,standard,liquid,,,,,,,1,20,,,,,,1.0,,,01-00-1900,1.166,Plate1,F10,,1.166,0.9969865167625916,,,,,
6,26,HP16-20231023,S2,standard,liquid,,,,,,,1,20,,,,,,0.4,,,01-00-1900,0.521,Plate1,G10,,0.521,0.9969865167625916,,,,,
7,26,HP16-20231023,S2,standard,liquid,,,,,,,1,20,,,,,,0.4,,,01-00-1900,0.531,Plate1,H10,,0.531,0.9969865167625916,,,,,
8,24,HP16-20231023,S4,standard,liquid,,,,,,,1,20,,,,,,0.8,,,01-00-1900,0.977,Plate1,E11,,0.977,0.9969865167625916,,,,,
9,24,HP16-20231023,S4,standard,liquid,,,,,,,1,20,,,,,,0.8,,,01-00-1900,0.977,Plate1,F11,,0.977,0.9969865167625916,,,,,
10,27,HP16-20231023,S1,standard,liquid,,,,,,,1,20,,,,,,0.2,,,01-00-1900,0.32299999999999995,Plate1,G11,,0.32299999999999995,0.9969865167625916,,,,,
11,27,HP16-20231023,S1,standard,liquid,,,,,,,1,20,,,,,,0.2,,,01-00-1900,0.319,Plate1,H11,,0.319,0.9969865167625916,,,,,
12,25,HP16-20231023,S3,standard,liquid,,,,,,,1,20,,,,,,0.6,,,01-00-1900,0.7020000000000001,Plate1,E12,,0.7020000000000001,0.9969865167625916,,,,,
13,25,HP16-20231023,S3,standard,liquid,,,,,,,1,20,,,,,,0.6,,,01-00-1900,0.7859999999999999,Plate1,F12,,0.7859999999999999,0.9969865167625916,,,,,
14,28,HP16-20231023,S0,standard,liquid,,,,,,,1,20,,,,,,0.0,,,01-00-1900,0.08900000000000001,Plate1,G12,,0.08900000000000001,0.9969865167625916,,,,,
