,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,scaffold_type,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,net weight mg,ug/well,mg/biopsy,ug/cm2
12,5,HP1,SZ-0526-2-2,sample,526,0526-2,45138,2,8,1670.185,1656.98,1670.185,1656.98,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.354,Plate1,E2,0.288,0.0,0.07309626472159389,0.018274066180398476,0.3635509953748561
13,6,HP1,SZ-0526-2-3,sample,526,0526-2,45139,3,8,1642.74,1629.39,1642.74,1629.39,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.347,Plate1,F2,0.28099999999999997,0.0,0.0724813041989126,0.018120326049728148,0.360492432656384
16,1,HP1,SZ-0526-1-1,sample,526,0526-1,45134,1,8,1638.775,1626.345,1638.775,1626.345,SZ,,HPL,V2P1,07-27-2023,500,100,1000,20,0.418,Plate1,A3,0.352,0.0,0.07871876092896551,0.01967969023224138,0.39151499737231316
17,2,HP1,SZ-0526-1-2,sample,526,0526-1,45134,2,8,1643.075,1629.985,1643.075,1629.985,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.382,Plate1,B3,0.316,0.0,0.07555610681231897,0.018889026703079743,0.37578524624874354
18,3,HP1,SZ-0526-1-3,sample,526,0526-1,45136,3,8,1669.05,1656.595,1669.05,1656.595,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.423,Plate1,C3,0.357,0.0,0.07915801844516643,0.019789504611291607,0.3936996850283645
19,4,HP1,SZ-0526-2-1,sample,526,0526-2,45137,1,8,1635.98,1623.355,1635.98,1623.355,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.417,Plate1,D3,0.351,0.0,0.07863090942572534,0.019657727356431336,0.39107805984110294
20,5,HP1,SZ-0526-2-2,sample,526,0526-2,45138,2,8,1670.185,1656.98,1670.185,1656.98,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.394,Plate1,E3,0.328,0.0,0.07661032485120116,0.019152581212800286,0.38102849662326665
21,6,HP1,SZ-0526-2-3,sample,526,0526-2,45139,3,8,1642.74,1629.39,1642.74,1629.39,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.363,Plate1,F3,0.297,0.0,0.07388692825075552,0.01847173206268888,0.3674834331557484
24,1,HP1,SZ-0526-1-1,sample,526,0526-1,45134,1,8,1638.775,1626.345,1638.775,1626.345,SZ,,HPL,V2P1,07-27-2023,500,100,1000,20,0.433,Plate1,A4,0.367,0.0,0.08003653347756824,0.02000913336939206,0.3980690603404672
25,2,HP1,SZ-0526-1-2,sample,526,0526-1,45134,2,8,1643.075,1629.985,1643.075,1629.985,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.395,Plate1,B4,0.329,0.0,0.07669817635444134,0.019174544088610336,0.38146543415447703
26,3,HP1,SZ-0526-1-3,sample,526,0526-1,45136,3,8,1669.05,1656.595,1669.05,1656.595,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.412,Plate1,C4,0.346,0.0,0.07819165190952443,0.019547912977381107,0.38889337218505154
27,4,HP1,SZ-0526-2-1,sample,526,0526-2,45137,1,8,1635.98,1623.355,1635.98,1623.355,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.372,Plate1,D4,0.306,0.0,0.07467759177991716,0.01866939794497929,0.37141587093664086
28,5,HP1,SZ-0526-2-2,sample,526,0526-2,45138,2,8,1670.185,1656.98,1670.185,1656.98,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.359,Plate1,E4,0.293,0.0,0.07353552223779479,0.018383880559448697,0.36573568303090737
29,6,HP1,SZ-0526-2-3,sample,526,0526-2,45139,3,8,1642.74,1629.39,1642.74,1629.39,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.346,Plate1,F4,0.27999999999999997,0.0,0.07239345269567243,0.01809836317391811,0.3600554951251738
32,7,HP1,SZ-0526-3-1,sample,526,0526-3,45140,1,8,1678.96,1664.95,1678.96,1664.95,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.714,Plate1,A5,0.6479999999999999,0.0,0.10472280588805931,0.026180701472014824,0.5208485066105525
33,8,HP1,SZ-0526-3-2,sample,526,0526-3,45141,2,8,1636.87,1625.015,1636.87,1625.015,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.787,Plate1,B5,0.7210000000000001,0.0,0.11113596562459259,0.027783991406148144,0.5527449463889021
34,9,HP1,SZ-0526-3-3,sample,526,0526-3,45142,3,8,1652.83,1639.685,1652.83,1639.685,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.69,Plate1,C5,0.6239999999999999,0.0,0.10261436981029495,0.02565359245257374,0.5103620058615062
35,10,HP1,SZ-0526-4-1,sample,526,0526-4,45143,1,8,1673.72,1660.315,1673.72,1660.315,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.645,Plate1,D5,0.579,0.0,0.09866105216448678,0.024665263041121696,0.4906998169570442
36,11,HP1,SZ-0526-4-2,sample,526,0526-4,45144,2,8,1675.07,1660.795,1675.07,1660.795,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.673,Plate1,E5,0.607,0.0,0.10112089425521187,0.025280223563802964,0.5029340678309315
37,12,HP1,SZ-0526-4-3,sample,526,0526-4,45145,3,8,1633.5,1620.205,1633.5,1620.205,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.67,Plate1,F5,0.6040000000000001,0.0,0.10085733974549133,0.02521433493637283,0.5016232552373008
40,7,HP1,SZ-0526-3-1,sample,526,0526-3,45140,1,8,1678.96,1664.95,1678.96,1664.95,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.626,Plate1,A6,0.56,0.0,0.09699187360292333,0.024247968400730832,0.48239800386404896
41,8,HP1,SZ-0526-3-2,sample,526,0526-3,45141,2,8,1636.87,1625.015,1636.87,1625.015,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.734,Plate1,B6,0.6679999999999999,0.0,0.10647983595286295,0.026619958988215734,0.5295872572347579
42,9,HP1,SZ-0526-3-3,sample,526,0526-3,45142,3,8,1652.83,1639.685,1652.83,1639.685,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.659,Plate1,C6,0.593,0.0,0.09989097320984933,0.02497274330246233,0.4968169423939879
43,10,HP1,SZ-0526-4-1,sample,526,0526-4,45143,1,8,1673.72,1660.315,1673.72,1660.315,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.606,Plate1,D6,0.54,0.0,0.0952348435381197,0.023808710884529925,0.47365925323984365
44,11,HP1,SZ-0526-4-2,sample,526,0526-4,45144,2,8,1675.07,1660.795,1675.07,1660.795,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.704,Plate1,E6,0.6379999999999999,0.0,0.1038442908556575,0.025961072713914377,0.51647913129845
45,12,HP1,SZ-0526-4-3,sample,526,0526-4,45145,3,8,1633.5,1620.205,1633.5,1620.205,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.634,Plate1,F6,0.5680000000000001,0.0,0.09769468562884479,0.0244236714072112,0.4858935041137312
48,7,HP1,SZ-0526-3-1,sample,526,0526-3,45140,1,8,1678.96,1664.95,1678.96,1664.95,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.685,Plate1,A7,0.619,0.0,0.10217511229409404,0.02554377807352351,0.5081773182054548
49,8,HP1,SZ-0526-3-2,sample,526,0526-3,45141,2,8,1636.87,1625.015,1636.87,1625.015,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.765,Plate1,B7,0.6990000000000001,0.0,0.1092032325533086,0.02730080813832715,0.5431323207022763
50,9,HP1,SZ-0526-3-3,sample,526,0526-3,45142,3,8,1652.83,1639.685,1652.83,1639.685,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.752,Plate1,C7,0.6859999999999999,0.0,0.10806116301118622,0.027015290752796555,0.5374521327965428
51,10,HP1,SZ-0526-4-1,sample,526,0526-4,45143,1,8,1673.72,1660.315,1673.72,1660.315,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.712,Plate1,D7,0.6459999999999999,0.0,0.10454710288157895,0.026136775720394738,0.5199746315481321
52,11,HP1,SZ-0526-4-2,sample,526,0526-4,45144,2,8,1675.07,1660.795,1675.07,1660.795,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.7,Plate1,E7,0.6339999999999999,0.0,0.10349288484269677,0.02587322121067419,0.5147313811736087
53,12,HP1,SZ-0526-4-3,sample,526,0526-4,45145,3,8,1633.5,1620.205,1633.5,1620.205,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.677,Plate1,F7,0.611,0.0,0.10147230026817258,0.025368075067043146,0.5046818179557726
56,7,HP1,SZ-0526-3-1,sample,526,0526-3,45140,1,8,1678.96,1664.95,1678.96,1664.95,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.693,Plate1,A8,0.627,0.0,0.1028779243200155,0.025719481080003874,0.5116728184551369
57,8,HP1,SZ-0526-3-2,sample,526,0526-3,45141,2,8,1636.87,1625.015,1636.87,1625.015,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.776,Plate1,B8,0.71,0.0,0.11016959908895058,0.027542399772237647,0.5479386335455892
58,9,HP1,SZ-0526-3-3,sample,526,0526-3,45142,3,8,1652.83,1639.685,1652.83,1639.685,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.692,Plate1,C8,0.6259999999999999,0.0,0.10279007281677531,0.025697518204193828,0.5112358809239267
59,10,HP1,SZ-0526-4-1,sample,526,0526-4,45143,1,8,1673.72,1660.315,1673.72,1660.315,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.654,Plate1,D8,0.5880000000000001,0.0,0.09945171569364841,0.024862928923412103,0.49463225473793654
60,11,HP1,SZ-0526-4-2,sample,526,0526-4,45144,2,8,1675.07,1660.795,1675.07,1660.795,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.673,Plate1,E8,0.607,0.0,0.10112089425521187,0.025280223563802964,0.5029340678309315
61,12,HP1,SZ-0526-4-3,sample,526,0526-4,45145,3,8,1633.5,1620.205,1633.5,1620.205,SZ,,FBS,V2P1,07-26-2023,500,100,1000,20,0.667,Plate1,F8,0.601,0.0,0.10059378523577078,0.025148446308942696,0.50031244264367
64,13,HP1,SZ-0602-1-1,sample,602,0602-1,45146,1,8,1643.005,1631.3,1643.005,1631.3,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.305,Plate1,A9,0.239,0.0,0.06879154106282498,0.017197885265706245,0.34214105634555286
65,14,HP1,SZ-0602-1-2,sample,602,0602-1,45147,2,8,1655.505,1650.595,1655.505,1650.595,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.355,Plate1,B9,0.289,0.0,0.07318411622483406,0.018296029056208515,0.36398793290606624
66,15,HP1,SZ-0602-1-3,sample,602,0602-1,45148,3,8,1663.345,1645.765,1663.345,1645.765,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.358,Plate1,C9,0.292,0.0,0.0734476707345546,0.01836191768363865,0.36529874549969704
67,16,HP1,SZ-0602-2-1,sample,602,0602-2,45149,1,8,1653.31,1642.39,1653.31,1642.39,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.328,Plate1,D9,0.262,0.0,0.07081212563734916,0.01770303140933729,0.35219061956338904
68,17,HP1,SZ-0602-2-2,sample,602,0602-2,45150,2,8,1646.065,1634.63,1646.065,1634.63,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.334,Plate1,E9,0.268,0.0,0.07133923465679025,0.01783480866419756,0.35481224475065054
69,18,HP1,SZ-0602-2-3,sample,602,0602-2,45151,3,8,1641.16,1629.315,1641.16,1629.315,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.345,Plate1,F9,0.27899999999999997,0.0,0.07230560119243225,0.018076400298108062,0.3596185575939636
72,13,HP1,SZ-0602-1-1,sample,602,0602-1,45146,1,8,1643.005,1631.3,1643.005,1631.3,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.332,Plate1,A10,0.266,0.0,0.07116353165030989,0.017790882912577473,0.3539383696882301
73,14,HP1,SZ-0602-1-2,sample,602,0602-1,45147,2,8,1655.505,1650.595,1655.505,1650.595,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.368,Plate1,B10,0.302,0.0,0.07432618576695643,0.018581546441739108,0.3696681208117998
74,15,HP1,SZ-0602-1-3,sample,602,0602-1,45148,3,8,1663.345,1645.765,1663.345,1645.765,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.377,Plate1,C10,0.311,0.0,0.07511684929611806,0.018779212324029515,0.37360055859269214
75,16,HP1,SZ-0602-2-1,sample,602,0602-2,45149,1,8,1653.31,1642.39,1653.31,1642.39,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.354,Plate1,D10,0.288,0.0,0.07309626472159389,0.018274066180398476,0.3635509953748561
76,17,HP1,SZ-0602-2-2,sample,602,0602-2,45150,2,8,1646.065,1634.63,1646.065,1634.63,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.371,Plate1,E10,0.305,0.0,0.07458974027667697,0.018647435069169247,0.37097893340543064
77,18,HP1,SZ-0602-2-3,sample,602,0602-2,45151,3,8,1641.16,1629.315,1641.16,1629.315,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.362,Plate1,F10,0.296,0.0,0.07379907674751535,0.018449769186878837,0.3670464956245382
80,13,HP1,SZ-0602-1-1,sample,602,0602-1,45146,1,8,1643.005,1631.3,1643.005,1631.3,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.332,Plate1,A11,0.266,0.0,0.07116353165030989,0.017790882912577473,0.3539383696882301
81,14,HP1,SZ-0602-1-2,sample,602,0602-1,45147,2,8,1655.505,1650.595,1655.505,1650.595,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.359,Plate1,B11,0.293,0.0,0.07353552223779479,0.018383880559448697,0.36573568303090737
82,15,HP1,SZ-0602-1-3,sample,602,0602-1,45148,3,8,1663.345,1645.765,1663.345,1645.765,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.382,Plate1,C11,0.316,0.0,0.07555610681231897,0.018889026703079743,0.37578524624874354
83,16,HP1,SZ-0602-2-1,sample,602,0602-2,45149,1,8,1653.31,1642.39,1653.31,1642.39,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.376,Plate1,D11,0.31,0.0,0.07502899779287789,0.018757249448219472,0.3731636210614819
84,17,HP1,SZ-0602-2-2,sample,602,0602-2,45150,2,8,1646.065,1634.63,1646.065,1634.63,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.372,Plate1,E11,0.306,0.0,0.07467759177991716,0.01866939794497929,0.37141587093664086
85,18,HP1,SZ-0602-2-3,sample,602,0602-2,45151,3,8,1641.16,1629.315,1641.16,1629.315,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.365,Plate1,F11,0.299,0.0,0.07406263125723589,0.018515657814308972,0.368357308218169
88,13,HP1,SZ-0602-1-1,sample,602,0602-1,45146,1,8,1643.005,1631.3,1643.005,1631.3,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.33,Plate1,A12,0.264,0.0,0.07098782864382952,0.017746957160957377,0.35306449462580947
89,14,HP1,SZ-0602-1-2,sample,602,0602-1,45147,2,8,1655.505,1650.595,1655.505,1650.595,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.355,Plate1,B12,0.289,0.0,0.07318411622483406,0.018296029056208515,0.36398793290606624
90,15,HP1,SZ-0602-1-3,sample,602,0602-1,45148,3,8,1663.345,1645.765,1663.345,1645.765,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.37,Plate1,C12,0.304,0.0,0.07450188877343679,0.018625472193359197,0.37054199587422026
91,16,HP1,SZ-0602-2-1,sample,602,0602-2,45149,1,8,1653.31,1642.39,1653.31,1642.39,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.368,Plate1,D12,0.302,0.0,0.07432618576695643,0.018581546441739108,0.3696681208117998
92,17,HP1,SZ-0602-2-2,sample,602,0602-2,45150,2,8,1646.065,1634.63,1646.065,1634.63,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.394,Plate1,E12,0.328,0.0,0.07661032485120116,0.019152581212800286,0.38102849662326665
93,18,HP1,SZ-0602-2-3,sample,602,0602-2,45151,3,8,1641.16,1629.315,1641.16,1629.315,SZ,,HPL,PLA,07-26-2023,500,100,1000,20,0.346,Plate1,F12,0.27999999999999997,0.0,0.07239345269567243,0.01809836317391811,0.3600554951251738
96,19,HP1,SZ-0602-3-1,sample,602,0602-3,45152,1,8,1640.605,1629.3,1640.605,1629.3,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.657,Plate2,A1,0.591,0.0,0.09971527020336896,0.024928817550842242,0.4959430673315674
97,20,HP1,SZ-0602-3-2,sample,602,0602-3,45153,2,8,1628.315,1617.095,1628.315,1617.095,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.613,Plate2,B1,0.5469999999999999,0.0,0.09584980406080096,0.02396245101520024,0.47671781595831547
98,21,HP1,SZ-0602-3-3,sample,602,0602-3,45154,3,8,1647.18,1636.445,1647.18,1636.445,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.628,Plate2,C1,0.562,0.0,0.0971675766094037,0.02429189415235092,0.48327187892646956
99,22,HP1,SZ-0602-4-1,sample,602,0602-4,45155,1,8,1647.01,1634.96,1647.01,1634.96,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.534,Plate2,D1,0.468,0.0,0.0889095353048266,0.022227383826206648,0.44219975099270425
100,23,HP1,SZ-0602-4-2,sample,602,0602-4,45156,2,8,1657.8,1646.99,1657.8,1646.99,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.547,Plate2,E1,0.48100000000000004,0.0,0.09005160484694896,0.02251290121173724,0.44787993889843775
101,24,HP1,SZ-0602-4-3,sample,602,0602-4,45157,3,8,1651.345,1639.465,1651.345,1639.465,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.48,Plate2,F1,0.414,0.0,0.0841655541298568,0.0210413885324642,0.41860512430734986
104,19,HP1,SZ-0602-3-1,sample,602,0602-3,45152,1,8,1640.605,1629.3,1640.605,1629.3,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.615,Plate2,A2,0.5489999999999999,0.0,0.09602550706728132,0.02400637676682033,0.477591691020736
105,20,HP1,SZ-0602-3-2,sample,602,0602-3,45153,2,8,1628.315,1617.095,1628.315,1617.095,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.606,Plate2,B2,0.54,0.0,0.0952348435381197,0.023808710884529925,0.47365925323984365
106,21,HP1,SZ-0602-3-3,sample,602,0602-3,45154,3,8,1647.18,1636.445,1647.18,1636.445,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.602,Plate2,C2,0.536,0.0,0.09488343752515896,0.02372085938128974,0.4719115031150026
107,22,HP1,SZ-0602-4-1,sample,602,0602-4,45155,1,8,1647.01,1634.96,1647.01,1634.96,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.561,Plate2,D2,0.49500000000000005,0.0,0.0912815258923115,0.022820381473077876,0.4539970643353815
108,23,HP1,SZ-0602-4-2,sample,602,0602-4,45156,2,8,1657.8,1646.99,1657.8,1646.99,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.587,Plate2,E2,0.5209999999999999,0.0,0.09356566497655622,0.023391416244139054,0.46535744014684843
109,24,HP1,SZ-0602-4-3,sample,602,0602-4,45157,3,8,1651.345,1639.465,1651.345,1639.465,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.524,Plate2,F2,0.458,0.0,0.08803102027242479,0.0220077550681062,0.4378303756806017
112,19,HP1,SZ-0602-3-1,sample,602,0602-3,45152,1,8,1640.605,1629.3,1640.605,1629.3,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.663,Plate2,A3,0.597,0.0,0.10024237922281004,0.025060594805702507,0.4985646925188288
113,20,HP1,SZ-0602-3-2,sample,602,0602-3,45153,2,8,1628.315,1617.095,1628.315,1617.095,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.676,Plate2,B3,0.6100000000000001,0.0,0.10138444876493241,0.0253461121912331,0.5042448804245623
114,21,HP1,SZ-0602-3-3,sample,602,0602-3,45154,3,8,1647.18,1636.445,1647.18,1636.445,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.659,Plate2,C3,0.593,0.0,0.09989097320984933,0.02497274330246233,0.4968169423939879
115,22,HP1,SZ-0602-4-1,sample,602,0602-4,45155,1,8,1647.01,1634.96,1647.01,1634.96,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.59,Plate2,D3,0.524,0.0,0.09382921948627679,0.023457304871569197,0.46666825274047935
116,23,HP1,SZ-0602-4-2,sample,602,0602-4,45156,2,8,1657.8,1646.99,1657.8,1646.99,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.545,Plate2,E3,0.47900000000000004,0.0,0.0898759018404686,0.022468975460117155,0.4470060638360173
117,24,HP1,SZ-0602-4-3,sample,602,0602-4,45157,3,8,1651.345,1639.465,1651.345,1639.465,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.491,Plate2,F3,0.425,0.0,0.0851319206654988,0.0212829801663747,0.42341143715066276
120,19,HP1,SZ-0602-3-1,sample,602,0602-3,45152,1,8,1640.605,1629.3,1640.605,1629.3,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.815,Plate2,A4,0.7489999999999999,0.0,0.11359580771531767,0.02839895192882942,0.5649791972627897
121,20,HP1,SZ-0602-3-2,sample,602,0602-3,45153,2,8,1628.315,1617.095,1628.315,1617.095,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.886,Plate2,B4,0.8200000000000001,0.0,0.11983326444537058,0.029958316111342646,0.5960017619787188
122,21,HP1,SZ-0602-3-3,sample,602,0602-3,45154,3,8,1647.18,1636.445,1647.18,1636.445,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.884,Plate2,C4,0.8180000000000001,0.0,0.11965756143889023,0.029914390359722556,0.5951278869162983
123,22,HP1,SZ-0602-4-1,sample,602,0602-4,45155,1,8,1647.01,1634.96,1647.01,1634.96,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.77,Plate2,D4,0.704,0.0,0.10964249006950949,0.02741062251737737,0.5453170083583275
124,23,HP1,SZ-0602-4-2,sample,602,0602-4,45156,2,8,1657.8,1646.99,1657.8,1646.99,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.803,Plate2,E4,0.7370000000000001,0.0,0.1125415896764355,0.02813539741910888,0.5597359468882666
125,24,HP1,SZ-0602-4-3,sample,602,0602-4,45157,3,8,1651.345,1639.465,1651.345,1639.465,SZ,,FBS,PLA,07-26-2023,500,100,1000,20,0.623,Plate2,F4,0.5569999999999999,0.0,0.09672831909320277,0.024182079773300693,0.48108719127041816
