,ID,experiment_ID,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,scaffold_type,reaction_date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,net weight mg,ug/well,mg/biopsy,ug/cm2
0,1,HP1,SZ-0526-1-1,sample,526,0526-1,45134,1,8,1638.775,1626.345,1638.775,1626.345,SZ,,HPL,V2P1,07-27-2023,500,100,1000,20,0.322,Plate1,A1,0.256,0.0,0.07028501661790806,0.017571254154477016,0.3495689943761274
1,2,HP1,SZ-0526-1-2,sample,526,0526-1,45134,2,8,1643.075,1629.985,1643.075,1629.985,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.364,Plate1,B1,0.298,0.0,0.0739747797539957,0.018493694938498926,0.3679203706869587
2,3,HP1,SZ-0526-1-3,sample,526,0526-1,45136,3,8,1669.05,1656.595,1669.05,1656.595,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.378,Plate1,C1,0.312,0.0,0.07520470079935825,0.01880117519983956,0.37403749612390247
3,4,HP1,SZ-0526-2-1,sample,526,0526-2,45137,1,8,1635.98,1623.355,1635.98,1623.355,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.327,Plate1,D1,0.261,0.0,0.07072427413410898,0.017681068533527244,0.3517536820321787
4,5,HP1,SZ-0526-2-2,sample,526,0526-2,45138,2,8,1670.185,1656.98,1670.185,1656.98,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.331,Plate1,E1,0.265,0.0,0.0710756801470697,0.017768920036767426,0.35350143215701985
5,6,HP1,SZ-0526-2-3,sample,526,0526-2,45139,3,8,1642.74,1629.39,1642.74,1629.39,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.331,Plate1,F1,0.265,0.0,0.0710756801470697,0.017768920036767426,0.35350143215701985
8,1,HP1,SZ-0526-1-1,sample,526,0526-1,45134,1,8,1638.775,1626.345,1638.775,1626.345,SZ,,HPL,V2P1,07-27-2023,500,100,1000,20,0.376,Plate1,A2,0.31,0.0,0.07502899779287789,0.018757249448219472,0.3731636210614819
9,2,HP1,SZ-0526-1-2,sample,526,0526-1,45134,2,8,1643.075,1629.985,1643.075,1629.985,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.383,Plate1,B2,0.317,0.0,0.07564395831555916,0.01891098957888979,0.37622218377995376
10,3,HP1,SZ-0526-1-3,sample,526,0526-1,45136,3,8,1669.05,1656.595,1669.05,1656.595,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.41,Plate1,C2,0.344,0.0,0.07801594890304406,0.019503987225761014,0.388019497122631
11,4,HP1,SZ-0526-2-1,sample,526,0526-2,45137,1,8,1635.98,1623.355,1635.98,1623.355,SZ,,HPL,V2P1,07-26-2023,500,100,1000,20,0.388,Plate1,D2,0.322,0.0,0.07608321583176006,0.01902080395794001,0.37840687143600504
